profile,split,feature,family,feature_family,rate,decision
atr_only,val_eval,ATR,TAIL_GT10,non_price_coord,0.19816430935901294,accept_as_warning
atr_only,low_n_disclosure,ATR,TAIL_GT10,non_price_coord,1.0,accept_as_warning
atr_only,train,,metadata,,,PASS
atr_only,val_select,,metadata,,,PASS
atr_only,val_eval,,metadata,,,PASS
atr_only,low_n_disclosure,,metadata,,,PASS
atr_only,val_eval,ATR,TAIL_GT10,non_price_coord,0.19816430935901294,accept_as_warning
atr_only,low_n_disclosure,ATR,TAIL_GT10,non_price_coord,1.0,accept_as_warning
atr_only,train,,metadata,,,PASS
atr_only,val_select,,metadata,,,PASS
atr_only,val_eval,,metadata,,,PASS
atr_only,low_n_disclosure,,metadata,,,PASS
atr_only,val_eval,ATR,TAIL_GT10,non_price_coord,0.19816430935901294,accept_as_warning
atr_only,low_n_disclosure,ATR,TAIL_GT10,non_price_coord,1.0,accept_as_warning
atr_only,train,,metadata,,,PASS
atr_only,val_select,,metadata,,,PASS
atr_only,val_eval,,metadata,,,PASS
atr_only,low_n_disclosure,,metadata,,,PASS
atr_only,val_eval,ATR,TAIL_GT10,non_price_coord,0.19816430935901294,accept_as_warning
atr_only,low_n_disclosure,ATR,TAIL_GT10,non_price_coord,1.0,accept_as_warning
atr_only,train,,metadata,,,PASS
atr_only,val_select,,metadata,,,PASS
atr_only,val_eval,,metadata,,,PASS
atr_only,low_n_disclosure,,metadata,,,PASS
atr_only,val_eval,ATR,TAIL_GT10,non_price_coord,0.19816430935901294,accept_as_warning
atr_only,low_n_disclosure,ATR,TAIL_GT10,non_price_coord,1.0,accept_as_warning
atr_only,train,,metadata,,,PASS
atr_only,val_select,,metadata,,,PASS
atr_only,val_eval,,metadata,,,PASS
atr_only,low_n_disclosure,,metadata,,,PASS
atr_only,val_eval,ATR,TAIL_GT10,non_price_coord,0.19816430935901294,accept_as_warning
atr_only,low_n_disclosure,ATR,TAIL_GT10,non_price_coord,1.0,accept_as_warning
atr_only,train,,metadata,,,PASS
atr_only,val_select,,metadata,,,PASS
atr_only,val_eval,,metadata,,,PASS
atr_only,low_n_disclosure,,metadata,,,PASS
atr_only,val_eval,ATR,TAIL_GT10,non_price_coord,0.19816430935901294,accept_as_warning
atr_only,low_n_disclosure,ATR,TAIL_GT10,non_price_coord,1.0,accept_as_warning
atr_only,train,,metadata,,,PASS
atr_only,val_select,,metadata,,,PASS
atr_only,val_eval,,metadata,,,PASS
atr_only,low_n_disclosure,,metadata,,,PASS
atr_only,val_eval,ATR,TAIL_GT10,non_price_coord,0.19816430935901294,accept_as_warning
atr_only,low_n_disclosure,ATR,TAIL_GT10,non_price_coord,1.0,accept_as_warning
atr_only,train,,metadata,,,PASS
atr_only,val_select,,metadata,,,PASS
atr_only,val_eval,,metadata,,,PASS
atr_only,low_n_disclosure,,metadata,,,PASS
atr_only,val_eval,ATR,TAIL_GT10,non_price_coord,0.19816430935901294,accept_as_warning
atr_only,low_n_disclosure,ATR,TAIL_GT10,non_price_coord,1.0,accept_as_warning
atr_only,train,,metadata,,,PASS
atr_only,val_select,,metadata,,,PASS
atr_only,val_eval,,metadata,,,PASS
atr_only,low_n_disclosure,,metadata,,,PASS
atr_only,val_eval,ATR,TAIL_GT10,non_price_coord,0.19816430935901294,accept_as_warning
atr_only,low_n_disclosure,ATR,TAIL_GT10,non_price_coord,1.0,accept_as_warning
atr_only,train,,metadata,,,PASS
atr_only,val_select,,metadata,,,PASS
atr_only,val_eval,,metadata,,,PASS
atr_only,low_n_disclosure,,metadata,,,PASS
atr_only,val_eval,ATR,TAIL_GT10,non_price_coord,0.19816430935901294,accept_as_warning
atr_only,low_n_disclosure,ATR,TAIL_GT10,non_price_coord,1.0,accept_as_warning
atr_only,train,,metadata,,,PASS
atr_only,val_select,,metadata,,,PASS
atr_only,val_eval,,metadata,,,PASS
atr_only,low_n_disclosure,,metadata,,,PASS
atr_only,val_eval,ATR,TAIL_GT10,non_price_coord,0.19816430935901294,accept_as_warning
atr_only,low_n_disclosure,ATR,TAIL_GT10,non_price_coord,1.0,accept_as_warning
atr_only,train,,metadata,,,PASS
atr_only,val_select,,metadata,,,PASS
atr_only,val_eval,,metadata,,,PASS
atr_only,low_n_disclosure,,metadata,,,PASS
atr_only,val_eval,ATR,TAIL_GT10,non_price_coord,0.19816430935901294,accept_as_warning
atr_only,low_n_disclosure,ATR,TAIL_GT10,non_price_coord,1.0,accept_as_warning
atr_only,train,,metadata,,,PASS
atr_only,val_select,,metadata,,,PASS
atr_only,val_eval,,metadata,,,PASS
atr_only,low_n_disclosure,,metadata,,,PASS
atr_only,val_eval,ATR,TAIL_GT10,non_price_coord,0.19816430935901294,accept_as_warning
atr_only,low_n_disclosure,ATR,TAIL_GT10,non_price_coord,1.0,accept_as_warning
atr_only,train,,metadata,,,PASS
atr_only,val_select,,metadata,,,PASS
atr_only,val_eval,,metadata,,,PASS
atr_only,low_n_disclosure,,metadata,,,PASS
atr_only,val_eval,ATR,TAIL_GT10,non_price_coord,0.19816430935901294,accept_as_warning
atr_only,low_n_disclosure,ATR,TAIL_GT10,non_price_coord,1.0,accept_as_warning
atr_only,train,,metadata,,,PASS
atr_only,val_select,,metadata,,,PASS
atr_only,val_eval,,metadata,,,PASS
atr_only,low_n_disclosure,,metadata,,,PASS
atr_only,val_eval,ATR,TAIL_GT10,non_price_coord,0.19816430935901294,accept_as_warning
atr_only,low_n_disclosure,ATR,TAIL_GT10,non_price_coord,1.0,accept_as_warning
atr_only,train,,metadata,,,PASS
atr_only,val_select,,metadata,,,PASS
atr_only,val_eval,,metadata,,,PASS
atr_only,low_n_disclosure,,metadata,,,PASS
atr_only,val_eval,ATR,TAIL_GT10,non_price_coord,0.19816430935901294,accept_as_warning
atr_only,low_n_disclosure,ATR,TAIL_GT10,non_price_coord,1.0,accept_as_warning
atr_only,train,,metadata,,,PASS
atr_only,val_select,,metadata,,,PASS
atr_only,val_eval,,metadata,,,PASS
atr_only,low_n_disclosure,,metadata,,,PASS
atr_only,val_eval,ATR,TAIL_GT10,non_price_coord,0.19816430935901294,accept_as_warning
atr_only,low_n_disclosure,ATR,TAIL_GT10,non_price_coord,1.0,accept_as_warning
atr_only,train,,metadata,,,PASS
atr_only,val_select,,metadata,,,PASS
atr_only,val_eval,,metadata,,,PASS
atr_only,low_n_disclosure,,metadata,,,PASS
atr_only,val_eval,ATR,TAIL_GT10,non_price_coord,0.19816430935901294,accept_as_warning
atr_only,low_n_disclosure,ATR,TAIL_GT10,non_price_coord,1.0,accept_as_warning
atr_only,train,,metadata,,,PASS
atr_only,val_select,,metadata,,,PASS
atr_only,val_eval,,metadata,,,PASS
atr_only,low_n_disclosure,,metadata,,,PASS
atr_only,val_eval,ATR,TAIL_GT10,non_price_coord,0.19816430935901294,accept_as_warning
atr_only,low_n_disclosure,ATR,TAIL_GT10,non_price_coord,1.0,accept_as_warning
atr_only,train,,metadata,,,PASS
atr_only,val_select,,metadata,,,PASS
atr_only,val_eval,,metadata,,,PASS
atr_only,low_n_disclosure,,metadata,,,PASS
atr_only,val_eval,ATR,TAIL_GT10,non_price_coord,0.19816430935901294,accept_as_warning
atr_only,low_n_disclosure,ATR,TAIL_GT10,non_price_coord,1.0,accept_as_warning
atr_only,train,,metadata,,,PASS
atr_only,val_select,,metadata,,,PASS
atr_only,val_eval,,metadata,,,PASS
atr_only,low_n_disclosure,,metadata,,,PASS
atr_only,val_eval,ATR,TAIL_GT10,non_price_coord,0.19816430935901294,accept_as_warning
atr_only,low_n_disclosure,ATR,TAIL_GT10,non_price_coord,1.0,accept_as_warning
atr_only,train,,metadata,,,PASS
atr_only,val_select,,metadata,,,PASS
atr_only,val_eval,,metadata,,,PASS
atr_only,low_n_disclosure,,metadata,,,PASS
atr_only,val_eval,ATR,TAIL_GT10,non_price_coord,0.19816430935901294,accept_as_warning
atr_only,low_n_disclosure,ATR,TAIL_GT10,non_price_coord,1.0,accept_as_warning
atr_only,train,,metadata,,,PASS
atr_only,val_select,,metadata,,,PASS
atr_only,val_eval,,metadata,,,PASS
atr_only,low_n_disclosure,,metadata,,,PASS
atr_only,val_eval,ATR,TAIL_GT10,non_price_coord,0.19816430935901294,accept_as_warning
atr_only,low_n_disclosure,ATR,TAIL_GT10,non_price_coord,1.0,accept_as_warning
atr_only,train,,metadata,,,PASS
atr_only,val_select,,metadata,,,PASS
atr_only,val_eval,,metadata,,,PASS
atr_only,low_n_disclosure,,metadata,,,PASS
atr_only,val_eval,ATR,TAIL_GT10,non_price_coord,0.19816430935901294,accept_as_warning
atr_only,low_n_disclosure,ATR,TAIL_GT10,non_price_coord,1.0,accept_as_warning
atr_only,train,,metadata,,,PASS
atr_only,val_select,,metadata,,,PASS
atr_only,val_eval,,metadata,,,PASS
atr_only,low_n_disclosure,,metadata,,,PASS
atr_only,val_eval,ATR,TAIL_GT10,non_price_coord,0.19816430935901294,accept_as_warning
atr_only,low_n_disclosure,ATR,TAIL_GT10,non_price_coord,1.0,accept_as_warning
atr_only,train,,metadata,,,PASS
atr_only,val_select,,metadata,,,PASS
atr_only,val_eval,,metadata,,,PASS
atr_only,low_n_disclosure,,metadata,,,PASS
atr_only,val_eval,ATR,TAIL_GT10,non_price_coord,0.19816430935901294,accept_as_warning
atr_only,low_n_disclosure,ATR,TAIL_GT10,non_price_coord,1.0,accept_as_warning
atr_only,train,,metadata,,,PASS
atr_only,val_select,,metadata,,,PASS
atr_only,val_eval,,metadata,,,PASS
atr_only,low_n_disclosure,,metadata,,,PASS
atr_only,val_eval,ATR,TAIL_GT10,non_price_coord,0.19816430935901294,accept_as_warning
atr_only,low_n_disclosure,ATR,TAIL_GT10,non_price_coord,1.0,accept_as_warning
atr_only,train,,metadata,,,PASS
atr_only,val_select,,metadata,,,PASS
atr_only,val_eval,,metadata,,,PASS
atr_only,low_n_disclosure,,metadata,,,PASS
time_only_clean,train,,metadata,,,PASS
time_only_clean,val_select,,metadata,,,PASS
time_only_clean,val_eval,,metadata,,,PASS
time_only_clean,low_n_disclosure,,metadata,,,PASS
time_only_clean,train,,metadata,,,PASS
time_only_clean,val_select,,metadata,,,PASS
time_only_clean,val_eval,,metadata,,,PASS
time_only_clean,low_n_disclosure,,metadata,,,PASS
time_only_clean,train,,metadata,,,PASS
time_only_clean,val_select,,metadata,,,PASS
