split,horizon,n,p50,p80,p90,p95
train,3,44159,3.0,6.019999999999982,8.652000000000088,11.779999999999973
train,6,44159,4.580000000000155,8.839999999999918,12.480000000000018,16.680000000000064
train,12,44159,7.009999999999991,12.953999999999965,17.720000000000027,23.25199999999997
train,24,44159,10.779999999999973,19.0,25.282000000000014,32.57999999999995
val_select,3,6648,5.009999999999991,8.742000000000015,11.87999999999995,15.573000000000075
val_select,6,6648,7.535000000000082,13.009999999999991,17.246000000000006,22.083
val_select,12,6648,11.384999999999991,18.72400000000004,24.37300000000005,30.476000000000006
val_select,24,6648,16.99000000000001,26.851999999999915,33.97000000000003,42.17650000000006
val_eval,3,6646,7.989999999999895,15.739999999999782,22.465000000000146,31.197500000000105
val_eval,6,6646,11.950000000000045,23.429999999999836,33.16000000000008,44.05499999999995
val_eval,12,6646,17.940000000000282,33.44999999999982,46.68000000000029,60.429999999999836
val_eval,24,6646,26.7349999999999,47.11999999999989,66.41499999999974,85.84249999999997
low_n_disclosure,3,1162,28.58999999999969,51.94799999999996,73.8280000000002,101.46750000000044
low_n_disclosure,6,1162,40.29500000000007,74.57599999999985,105.73600000000002,162.60999999999967
low_n_disclosure,12,1162,59.710000000000036,107.33999999999997,155.46300000000025,218.02800000000062
low_n_disclosure,24,1162,90.82499999999982,162.86199999999974,212.96800000000022,321.96800000000025
