scope,split,score_cutoff,selected_n,total_n,year
split,val_select,9.015396545866059,333,6648,
split,val_eval,14.31309537547814,333,6646,
split,low_n_disclosure,15.476430236557126,59,1162,
split,train,7.771241426353509,2208,44159,
year,val_select,8.576120826917967,135,2686,2021.0
year,val_select,9.488345795110677,126,2519,2022.0
year,val_select,9.001048133754056,73,1443,2023.0
year,val_eval,7.896566917743876,62,1236,2023.0
year,val_eval,11.159427689820829,137,2723,2024.0
year,val_eval,15.136435666276777,135,2687,2025.0
year,low_n_disclosure,15.476430236557126,59,1162,2026.0
year,train,3.5925926599981963,98,1943,2004.0
year,train,3.547409686975323,187,3734,2005.0
year,train,5.913654104527481,159,3170,2006.0
year,train,5.375856797532585,161,3217,2007.0
year,train,9.22629016624032,146,2909,2008.0
year,train,7.757356050513894,143,2848,2009.0
year,train,7.477609522341645,137,2732,2010.0
year,train,12.881284672616443,136,2704,2011.0
year,train,8.37811762389177,138,2757,2012.0
year,train,9.401990939299996,142,2833,2013.0
year,train,6.818463042348209,143,2846,2014.0
year,train,6.710800319137473,141,2817,2015.0
year,train,7.446425054256539,141,2801,2016.0
year,train,5.984115454453403,140,2795,2017.0
year,train,5.813387989490159,138,2757,2018.0
year,train,5.600896403233542,65,1296,2019.0
