representation,model_key,seed,target_family,horizon,val_select,val_eval,low_n_disclosure,simple_trade_val_select,simple_trade_val_eval,powerful_selected_baseline,powerful_best_by_val_eval_disclosure,closeout_candidate_baseline,yearly_check_pass,matching_all100_val_select,matching_all100_val_eval
all100_sequence,transformer_small,42,entry_log_ratio,3,-0.014979290597662384,0.0065381326383078765,0.03350530654506462,-0.019864485839763767,0.03298455986064789,"{'representation': 'nearest_k80', 'model_key': 'hist_gradient_boosting_strong', 'horizon': 'H12', 'val_select': 0.0519, 'val_eval': -0.0009}","{'representation': 'corridor_5atr', 'model_key': 'extra_trees_regressor', 'horizon': 'H12', 'val_select': 0.0042, 'val_eval': 0.0475, 'selection_forbidden': True}","{'representation': 'nearest_k60', 'model_key': 'xgboost_depth5', 'horizon': 'H12', 'val_select': 0.0373, 'val_eval': 0.0274}",False,-0.014979290597662384,0.0065381326383078765
all100_sequence,transformer_small,42,entry_log_ratio,6,-0.014330318054747675,0.017905851419626084,0.0405854176723708,-0.029382292138272592,0.06150059729387601,"{'representation': 'nearest_k80', 'model_key': 'hist_gradient_boosting_strong', 'horizon': 'H12', 'val_select': 0.0519, 'val_eval': -0.0009}","{'representation': 'corridor_5atr', 'model_key': 'extra_trees_regressor', 'horizon': 'H12', 'val_select': 0.0042, 'val_eval': 0.0475, 'selection_forbidden': True}","{'representation': 'nearest_k60', 'model_key': 'xgboost_depth5', 'horizon': 'H12', 'val_select': 0.0373, 'val_eval': 0.0274}",False,-0.014330318054747675,0.017905851419626084
all100_sequence,transformer_small,42,entry_log_ratio,12,-0.010642530168346622,0.03467762290408061,0.07308441463148645,-0.015167725445653634,0.10355339914953722,"{'representation': 'nearest_k80', 'model_key': 'hist_gradient_boosting_strong', 'horizon': 'H12', 'val_select': 0.0519, 'val_eval': -0.0009}","{'representation': 'corridor_5atr', 'model_key': 'extra_trees_regressor', 'horizon': 'H12', 'val_select': 0.0042, 'val_eval': 0.0475, 'selection_forbidden': True}","{'representation': 'nearest_k60', 'model_key': 'xgboost_depth5', 'horizon': 'H12', 'val_select': 0.0373, 'val_eval': 0.0274}",False,-0.010642530168346622,0.03467762290408061
all100_sequence,transformer_small,42,entry_log_ratio,24,-0.01705486501496809,0.031714890839768924,0.08125471408326805,-0.020733989885773185,0.11569838832496167,"{'representation': 'nearest_k80', 'model_key': 'hist_gradient_boosting_strong', 'horizon': 'H12', 'val_select': 0.0519, 'val_eval': -0.0009}","{'representation': 'corridor_5atr', 'model_key': 'extra_trees_regressor', 'horizon': 'H12', 'val_select': 0.0042, 'val_eval': 0.0475, 'selection_forbidden': True}","{'representation': 'nearest_k60', 'model_key': 'xgboost_depth5', 'horizon': 'H12', 'val_select': 0.0373, 'val_eval': 0.0274}",False,-0.01705486501496809,0.031714890839768924
all100_sequence,transformer_small,42,entry_up,3,0.31085188486973975,0.30104918933271235,0.2260913683448636,-0.019864485839763767,0.03298455986064789,"{'representation': 'nearest_k80', 'model_key': 'hist_gradient_boosting_strong', 'horizon': 'H12', 'val_select': 0.0519, 'val_eval': -0.0009}","{'representation': 'corridor_5atr', 'model_key': 'extra_trees_regressor', 'horizon': 'H12', 'val_select': 0.0042, 'val_eval': 0.0475, 'selection_forbidden': True}","{'representation': 'nearest_k60', 'model_key': 'xgboost_depth5', 'horizon': 'H12', 'val_select': 0.0373, 'val_eval': 0.0274}",True,0.31085188486973975,0.30104918933271235
all100_sequence,transformer_small,42,entry_up,6,0.2977326857403538,0.2835365487763449,0.16448640010494595,-0.029382292138272592,0.06150059729387601,"{'representation': 'nearest_k80', 'model_key': 'hist_gradient_boosting_strong', 'horizon': 'H12', 'val_select': 0.0519, 'val_eval': -0.0009}","{'representation': 'corridor_5atr', 'model_key': 'extra_trees_regressor', 'horizon': 'H12', 'val_select': 0.0042, 'val_eval': 0.0475, 'selection_forbidden': True}","{'representation': 'nearest_k60', 'model_key': 'xgboost_depth5', 'horizon': 'H12', 'val_select': 0.0373, 'val_eval': 0.0274}",True,0.2977326857403538,0.2835365487763449
all100_sequence,transformer_small,42,entry_up,12,0.23430413300645161,0.25709006323995637,0.11319743932964077,-0.015167725445653634,0.10355339914953722,"{'representation': 'nearest_k80', 'model_key': 'hist_gradient_boosting_strong', 'horizon': 'H12', 'val_select': 0.0519, 'val_eval': -0.0009}","{'representation': 'corridor_5atr', 'model_key': 'extra_trees_regressor', 'horizon': 'H12', 'val_select': 0.0042, 'val_eval': 0.0475, 'selection_forbidden': True}","{'representation': 'nearest_k60', 'model_key': 'xgboost_depth5', 'horizon': 'H12', 'val_select': 0.0373, 'val_eval': 0.0274}",True,0.23430413300645161,0.25709006323995637
all100_sequence,transformer_small,42,entry_up,24,0.10996127150001585,0.19691199320843392,0.08345342234416987,-0.020733989885773185,0.11569838832496167,"{'representation': 'nearest_k80', 'model_key': 'hist_gradient_boosting_strong', 'horizon': 'H12', 'val_select': 0.0519, 'val_eval': -0.0009}","{'representation': 'corridor_5atr', 'model_key': 'extra_trees_regressor', 'horizon': 'H12', 'val_select': 0.0042, 'val_eval': 0.0475, 'selection_forbidden': True}","{'representation': 'nearest_k60', 'model_key': 'xgboost_depth5', 'horizon': 'H12', 'val_select': 0.0373, 'val_eval': 0.0274}",True,0.10996127150001585,0.19691199320843392
all100_sequence,transformer_small,42,entry_dn,3,0.2897039174034126,0.3297750071724335,0.24360394913345476,-0.019864485839763767,0.03298455986064789,"{'representation': 'nearest_k80', 'model_key': 'hist_gradient_boosting_strong', 'horizon': 'H12', 'val_select': 0.0519, 'val_eval': -0.0009}","{'representation': 'corridor_5atr', 'model_key': 'extra_trees_regressor', 'horizon': 'H12', 'val_select': 0.0042, 'val_eval': 0.0475, 'selection_forbidden': True}","{'representation': 'nearest_k60', 'model_key': 'xgboost_depth5', 'horizon': 'H12', 'val_select': 0.0373, 'val_eval': 0.0274}",True,0.2897039174034126,0.3297750071724335
all100_sequence,transformer_small,42,entry_dn,6,0.28759547029526406,0.3328681400026715,0.23847062232973962,-0.029382292138272592,0.06150059729387601,"{'representation': 'nearest_k80', 'model_key': 'hist_gradient_boosting_strong', 'horizon': 'H12', 'val_select': 0.0519, 'val_eval': -0.0009}","{'representation': 'corridor_5atr', 'model_key': 'extra_trees_regressor', 'horizon': 'H12', 'val_select': 0.0042, 'val_eval': 0.0475, 'selection_forbidden': True}","{'representation': 'nearest_k60', 'model_key': 'xgboost_depth5', 'horizon': 'H12', 'val_select': 0.0373, 'val_eval': 0.0274}",True,0.28759547029526406,0.3328681400026715
all100_sequence,transformer_small,42,entry_dn,12,0.23353093530624464,0.32017738406355667,0.23094361444459074,-0.015167725445653634,0.10355339914953722,"{'representation': 'nearest_k80', 'model_key': 'hist_gradient_boosting_strong', 'horizon': 'H12', 'val_select': 0.0519, 'val_eval': -0.0009}","{'representation': 'corridor_5atr', 'model_key': 'extra_trees_regressor', 'horizon': 'H12', 'val_select': 0.0042, 'val_eval': 0.0475, 'selection_forbidden': True}","{'representation': 'nearest_k60', 'model_key': 'xgboost_depth5', 'horizon': 'H12', 'val_select': 0.0373, 'val_eval': 0.0274}",True,0.23353093530624464,0.32017738406355667
all100_sequence,transformer_small,42,entry_dn,24,0.08477175869885796,0.27046980096400114,0.22230887925758705,-0.020733989885773185,0.11569838832496167,"{'representation': 'nearest_k80', 'model_key': 'hist_gradient_boosting_strong', 'horizon': 'H12', 'val_select': 0.0519, 'val_eval': -0.0009}","{'representation': 'corridor_5atr', 'model_key': 'extra_trees_regressor', 'horizon': 'H12', 'val_select': 0.0042, 'val_eval': 0.0475, 'selection_forbidden': True}","{'representation': 'nearest_k60', 'model_key': 'xgboost_depth5', 'horizon': 'H12', 'val_select': 0.0373, 'val_eval': 0.0274}",True,0.08477175869885796,0.27046980096400114
all100_sequence,transformer_medium,42,entry_log_ratio,3,0.013124959977503159,-0.018018286210395484,0.02765081165330527,0.010250062134311316,-0.022861805316831185,"{'representation': 'nearest_k80', 'model_key': 'hist_gradient_boosting_strong', 'horizon': 'H12', 'val_select': 0.0519, 'val_eval': -0.0009}","{'representation': 'corridor_5atr', 'model_key': 'extra_trees_regressor', 'horizon': 'H12', 'val_select': 0.0042, 'val_eval': 0.0475, 'selection_forbidden': True}","{'representation': 'nearest_k60', 'model_key': 'xgboost_depth5', 'horizon': 'H12', 'val_select': 0.0373, 'val_eval': 0.0274}",False,0.013124959977503159,-0.018018286210395484
all100_sequence,transformer_medium,42,entry_log_ratio,6,0.01704873218338182,-0.021120361455433258,0.02065223873837161,0.005597240284423822,-0.01227636291327075,"{'representation': 'nearest_k80', 'model_key': 'hist_gradient_boosting_strong', 'horizon': 'H12', 'val_select': 0.0519, 'val_eval': -0.0009}","{'representation': 'corridor_5atr', 'model_key': 'extra_trees_regressor', 'horizon': 'H12', 'val_select': 0.0042, 'val_eval': 0.0475, 'selection_forbidden': True}","{'representation': 'nearest_k60', 'model_key': 'xgboost_depth5', 'horizon': 'H12', 'val_select': 0.0373, 'val_eval': 0.0274}",False,0.01704873218338182,-0.021120361455433258
all100_sequence,transformer_medium,42,entry_log_ratio,12,0.015573212303318897,-0.01891799967006409,0.045856020732932275,-0.0017628708480078791,0.00015143484940060813,"{'representation': 'nearest_k80', 'model_key': 'hist_gradient_boosting_strong', 'horizon': 'H12', 'val_select': 0.0519, 'val_eval': -0.0009}","{'representation': 'corridor_5atr', 'model_key': 'extra_trees_regressor', 'horizon': 'H12', 'val_select': 0.0042, 'val_eval': 0.0475, 'selection_forbidden': True}","{'representation': 'nearest_k60', 'model_key': 'xgboost_depth5', 'horizon': 'H12', 'val_select': 0.0373, 'val_eval': 0.0274}",False,0.015573212303318897,-0.01891799967006409
all100_sequence,transformer_medium,42,entry_log_ratio,24,0.014534089281240229,-0.021010371786500122,0.08930304656429731,0.006445040508100531,-0.0065354337826788195,"{'representation': 'nearest_k80', 'model_key': 'hist_gradient_boosting_strong', 'horizon': 'H12', 'val_select': 0.0519, 'val_eval': -0.0009}","{'representation': 'corridor_5atr', 'model_key': 'extra_trees_regressor', 'horizon': 'H12', 'val_select': 0.0042, 'val_eval': 0.0475, 'selection_forbidden': True}","{'representation': 'nearest_k60', 'model_key': 'xgboost_depth5', 'horizon': 'H12', 'val_select': 0.0373, 'val_eval': 0.0274}",False,0.014534089281240229,-0.021010371786500122
all100_sequence,transformer_medium,42,entry_up,3,0.25059340132832303,0.24070512372776454,0.22085243906169513,0.010250062134311316,-0.022861805316831185,"{'representation': 'nearest_k80', 'model_key': 'hist_gradient_boosting_strong', 'horizon': 'H12', 'val_select': 0.0519, 'val_eval': -0.0009}","{'representation': 'corridor_5atr', 'model_key': 'extra_trees_regressor', 'horizon': 'H12', 'val_select': 0.0042, 'val_eval': 0.0475, 'selection_forbidden': True}","{'representation': 'nearest_k60', 'model_key': 'xgboost_depth5', 'horizon': 'H12', 'val_select': 0.0373, 'val_eval': 0.0274}",True,0.25059340132832303,0.24070512372776454
all100_sequence,transformer_medium,42,entry_up,6,0.19755765658258537,0.157159394315644,0.1647355349299824,0.005597240284423822,-0.01227636291327075,"{'representation': 'nearest_k80', 'model_key': 'hist_gradient_boosting_strong', 'horizon': 'H12', 'val_select': 0.0519, 'val_eval': -0.0009}","{'representation': 'corridor_5atr', 'model_key': 'extra_trees_regressor', 'horizon': 'H12', 'val_select': 0.0042, 'val_eval': 0.0475, 'selection_forbidden': True}","{'representation': 'nearest_k60', 'model_key': 'xgboost_depth5', 'horizon': 'H12', 'val_select': 0.0373, 'val_eval': 0.0274}",True,0.19755765658258537,0.157159394315644
all100_sequence,transformer_medium,42,entry_up,12,0.10221346514921398,0.03954949301029762,0.10931600655155894,-0.0017628708480078791,0.00015143484940060813,"{'representation': 'nearest_k80', 'model_key': 'hist_gradient_boosting_strong', 'horizon': 'H12', 'val_select': 0.0519, 'val_eval': -0.0009}","{'representation': 'corridor_5atr', 'model_key': 'extra_trees_regressor', 'horizon': 'H12', 'val_select': 0.0042, 'val_eval': 0.0475, 'selection_forbidden': True}","{'representation': 'nearest_k60', 'model_key': 'xgboost_depth5', 'horizon': 'H12', 'val_select': 0.0373, 'val_eval': 0.0274}",True,0.10221346514921398,0.03954949301029762
all100_sequence,transformer_medium,42,entry_up,24,0.046667436979622445,-0.02884502932204915,0.10102160825895731,0.006445040508100531,-0.0065354337826788195,"{'representation': 'nearest_k80', 'model_key': 'hist_gradient_boosting_strong', 'horizon': 'H12', 'val_select': 0.0519, 'val_eval': -0.0009}","{'representation': 'corridor_5atr', 'model_key': 'extra_trees_regressor', 'horizon': 'H12', 'val_select': 0.0042, 'val_eval': 0.0475, 'selection_forbidden': True}","{'representation': 'nearest_k60', 'model_key': 'xgboost_depth5', 'horizon': 'H12', 'val_select': 0.0373, 'val_eval': 0.0274}",False,0.046667436979622445,-0.02884502932204915
all100_sequence,transformer_medium,42,entry_dn,3,0.19490134192076264,0.3053438318556751,0.18189859369829675,0.010250062134311316,-0.022861805316831185,"{'representation': 'nearest_k80', 'model_key': 'hist_gradient_boosting_strong', 'horizon': 'H12', 'val_select': 0.0519, 'val_eval': -0.0009}","{'representation': 'corridor_5atr', 'model_key': 'extra_trees_regressor', 'horizon': 'H12', 'val_select': 0.0042, 'val_eval': 0.0475, 'selection_forbidden': True}","{'representation': 'nearest_k60', 'model_key': 'xgboost_depth5', 'horizon': 'H12', 'val_select': 0.0373, 'val_eval': 0.0274}",True,0.19490134192076264,0.3053438318556751
all100_sequence,transformer_medium,42,entry_dn,6,0.1830031102105876,0.2766182678945013,0.1442890658544223,0.005597240284423822,-0.01227636291327075,"{'representation': 'nearest_k80', 'model_key': 'hist_gradient_boosting_strong', 'horizon': 'H12', 'val_select': 0.0519, 'val_eval': -0.0009}","{'representation': 'corridor_5atr', 'model_key': 'extra_trees_regressor', 'horizon': 'H12', 'val_select': 0.0042, 'val_eval': 0.0475, 'selection_forbidden': True}","{'representation': 'nearest_k60', 'model_key': 'xgboost_depth5', 'horizon': 'H12', 'val_select': 0.0373, 'val_eval': 0.0274}",True,0.1830031102105876,0.2766182678945013
all100_sequence,transformer_medium,42,entry_dn,12,0.1212825338637702,0.23034591165498594,0.14877858722344423,-0.0017628708480078791,0.00015143484940060813,"{'representation': 'nearest_k80', 'model_key': 'hist_gradient_boosting_strong', 'horizon': 'H12', 'val_select': 0.0519, 'val_eval': -0.0009}","{'representation': 'corridor_5atr', 'model_key': 'extra_trees_regressor', 'horizon': 'H12', 'val_select': 0.0042, 'val_eval': 0.0475, 'selection_forbidden': True}","{'representation': 'nearest_k60', 'model_key': 'xgboost_depth5', 'horizon': 'H12', 'val_select': 0.0373, 'val_eval': 0.0274}",True,0.1212825338637702,0.23034591165498594
all100_sequence,transformer_medium,42,entry_dn,24,0.02914481475654049,0.18379449990360555,0.14188094594994288,0.006445040508100531,-0.0065354337826788195,"{'representation': 'nearest_k80', 'model_key': 'hist_gradient_boosting_strong', 'horizon': 'H12', 'val_select': 0.0519, 'val_eval': -0.0009}","{'representation': 'corridor_5atr', 'model_key': 'extra_trees_regressor', 'horizon': 'H12', 'val_select': 0.0042, 'val_eval': 0.0475, 'selection_forbidden': True}","{'representation': 'nearest_k60', 'model_key': 'xgboost_depth5', 'horizon': 'H12', 'val_select': 0.0373, 'val_eval': 0.0274}",True,0.02914481475654049,0.18379449990360555
all100_sequence,sequence_flat_hist_gradient_boosting,42,entry_log_ratio,3,-0.014086921728479756,-0.006165873169442825,0.015596601881806251,-0.014268507946312356,-0.013580709398616055,"{'representation': 'nearest_k80', 'model_key': 'hist_gradient_boosting_strong', 'horizon': 'H12', 'val_select': 0.0519, 'val_eval': -0.0009}","{'representation': 'corridor_5atr', 'model_key': 'extra_trees_regressor', 'horizon': 'H12', 'val_select': 0.0042, 'val_eval': 0.0475, 'selection_forbidden': True}","{'representation': 'nearest_k60', 'model_key': 'xgboost_depth5', 'horizon': 'H12', 'val_select': 0.0373, 'val_eval': 0.0274}",False,-0.014086921728479756,-0.006165873169442825
all100_sequence,sequence_flat_hist_gradient_boosting,42,entry_log_ratio,6,0.015667118557738564,0.013284961916116786,0.03620046148479072,0.005295721600125006,0.009425945589617384,"{'representation': 'nearest_k80', 'model_key': 'hist_gradient_boosting_strong', 'horizon': 'H12', 'val_select': 0.0519, 'val_eval': -0.0009}","{'representation': 'corridor_5atr', 'model_key': 'extra_trees_regressor', 'horizon': 'H12', 'val_select': 0.0042, 'val_eval': 0.0475, 'selection_forbidden': True}","{'representation': 'nearest_k60', 'model_key': 'xgboost_depth5', 'horizon': 'H12', 'val_select': 0.0373, 'val_eval': 0.0274}",True,0.015667118557738564,0.013284961916116786
all100_sequence,sequence_flat_hist_gradient_boosting,42,entry_log_ratio,12,0.015895397044005374,-0.01278538579681766,0.023693680645124195,0.028148455045543634,-0.03890068915891854,"{'representation': 'nearest_k80', 'model_key': 'hist_gradient_boosting_strong', 'horizon': 'H12', 'val_select': 0.0519, 'val_eval': -0.0009}","{'representation': 'corridor_5atr', 'model_key': 'extra_trees_regressor', 'horizon': 'H12', 'val_select': 0.0042, 'val_eval': 0.0475, 'selection_forbidden': True}","{'representation': 'nearest_k60', 'model_key': 'xgboost_depth5', 'horizon': 'H12', 'val_select': 0.0373, 'val_eval': 0.0274}",False,0.015895397044005374,-0.01278538579681766
all100_sequence,sequence_flat_hist_gradient_boosting,42,entry_log_ratio,24,0.027638554622099982,-0.004664286116238394,0.07541950429455242,0.03542528105749012,-0.04515130543583152,"{'representation': 'nearest_k80', 'model_key': 'hist_gradient_boosting_strong', 'horizon': 'H12', 'val_select': 0.0519, 'val_eval': -0.0009}","{'representation': 'corridor_5atr', 'model_key': 'extra_trees_regressor', 'horizon': 'H12', 'val_select': 0.0042, 'val_eval': 0.0475, 'selection_forbidden': True}","{'representation': 'nearest_k60', 'model_key': 'xgboost_depth5', 'horizon': 'H12', 'val_select': 0.0373, 'val_eval': 0.0274}",False,0.027638554622099982,-0.004664286116238394
all100_sequence,sequence_flat_hist_gradient_boosting,42,entry_up,3,0.24878396037744016,0.20112028295411535,0.2616323342929415,-0.014268507946312356,-0.013580709398616055,"{'representation': 'nearest_k80', 'model_key': 'hist_gradient_boosting_strong', 'horizon': 'H12', 'val_select': 0.0519, 'val_eval': -0.0009}","{'representation': 'corridor_5atr', 'model_key': 'extra_trees_regressor', 'horizon': 'H12', 'val_select': 0.0042, 'val_eval': 0.0475, 'selection_forbidden': True}","{'representation': 'nearest_k60', 'model_key': 'xgboost_depth5', 'horizon': 'H12', 'val_select': 0.0373, 'val_eval': 0.0274}",True,0.24878396037744016,0.20112028295411535
all100_sequence,sequence_flat_hist_gradient_boosting,42,entry_up,6,0.20606116170957167,0.22035815215643614,0.15635369760749282,0.005295721600125006,0.009425945589617384,"{'representation': 'nearest_k80', 'model_key': 'hist_gradient_boosting_strong', 'horizon': 'H12', 'val_select': 0.0519, 'val_eval': -0.0009}","{'representation': 'corridor_5atr', 'model_key': 'extra_trees_regressor', 'horizon': 'H12', 'val_select': 0.0042, 'val_eval': 0.0475, 'selection_forbidden': True}","{'representation': 'nearest_k60', 'model_key': 'xgboost_depth5', 'horizon': 'H12', 'val_select': 0.0373, 'val_eval': 0.0274}",True,0.20606116170957167,0.22035815215643614
all100_sequence,sequence_flat_hist_gradient_boosting,42,entry_up,12,0.12387924959822248,0.1942673656778064,0.11973482234268389,0.028148455045543634,-0.03890068915891854,"{'representation': 'nearest_k80', 'model_key': 'hist_gradient_boosting_strong', 'horizon': 'H12', 'val_select': 0.0519, 'val_eval': -0.0009}","{'representation': 'corridor_5atr', 'model_key': 'extra_trees_regressor', 'horizon': 'H12', 'val_select': 0.0042, 'val_eval': 0.0475, 'selection_forbidden': True}","{'representation': 'nearest_k60', 'model_key': 'xgboost_depth5', 'horizon': 'H12', 'val_select': 0.0373, 'val_eval': 0.0274}",True,0.12387924959822248,0.1942673656778064
all100_sequence,sequence_flat_hist_gradient_boosting,42,entry_up,24,0.0639448148343826,0.09091649297743273,0.12997443582561258,0.03542528105749012,-0.04515130543583152,"{'representation': 'nearest_k80', 'model_key': 'hist_gradient_boosting_strong', 'horizon': 'H12', 'val_select': 0.0519, 'val_eval': -0.0009}","{'representation': 'corridor_5atr', 'model_key': 'extra_trees_regressor', 'horizon': 'H12', 'val_select': 0.0042, 'val_eval': 0.0475, 'selection_forbidden': True}","{'representation': 'nearest_k60', 'model_key': 'xgboost_depth5', 'horizon': 'H12', 'val_select': 0.0373, 'val_eval': 0.0274}",True,0.0639448148343826,0.09091649297743273
all100_sequence,sequence_flat_hist_gradient_boosting,42,entry_dn,3,0.24136209242365161,0.28025390861599925,0.2201631595086854,-0.014268507946312356,-0.013580709398616055,"{'representation': 'nearest_k80', 'model_key': 'hist_gradient_boosting_strong', 'horizon': 'H12', 'val_select': 0.0519, 'val_eval': -0.0009}","{'representation': 'corridor_5atr', 'model_key': 'extra_trees_regressor', 'horizon': 'H12', 'val_select': 0.0042, 'val_eval': 0.0475, 'selection_forbidden': True}","{'representation': 'nearest_k60', 'model_key': 'xgboost_depth5', 'horizon': 'H12', 'val_select': 0.0373, 'val_eval': 0.0274}",True,0.24136209242365161,0.28025390861599925
all100_sequence,sequence_flat_hist_gradient_boosting,42,entry_dn,6,0.16096437155795593,0.2906743265506991,0.1616760775858053,0.005295721600125006,0.009425945589617384,"{'representation': 'nearest_k80', 'model_key': 'hist_gradient_boosting_strong', 'horizon': 'H12', 'val_select': 0.0519, 'val_eval': -0.0009}","{'representation': 'corridor_5atr', 'model_key': 'extra_trees_regressor', 'horizon': 'H12', 'val_select': 0.0042, 'val_eval': 0.0475, 'selection_forbidden': True}","{'representation': 'nearest_k60', 'model_key': 'xgboost_depth5', 'horizon': 'H12', 'val_select': 0.0373, 'val_eval': 0.0274}",True,0.16096437155795593,0.2906743265506991
all100_sequence,sequence_flat_hist_gradient_boosting,42,entry_dn,12,0.10395196996751015,0.2432386771935973,0.16864047135256688,0.028148455045543634,-0.03890068915891854,"{'representation': 'nearest_k80', 'model_key': 'hist_gradient_boosting_strong', 'horizon': 'H12', 'val_select': 0.0519, 'val_eval': -0.0009}","{'representation': 'corridor_5atr', 'model_key': 'extra_trees_regressor', 'horizon': 'H12', 'val_select': 0.0042, 'val_eval': 0.0475, 'selection_forbidden': True}","{'representation': 'nearest_k60', 'model_key': 'xgboost_depth5', 'horizon': 'H12', 'val_select': 0.0373, 'val_eval': 0.0274}",True,0.10395196996751015,0.2432386771935973
all100_sequence,sequence_flat_hist_gradient_boosting,42,entry_dn,24,-0.010934067546882597,0.2537248269618986,0.05271702935926109,0.03542528105749012,-0.04515130543583152,"{'representation': 'nearest_k80', 'model_key': 'hist_gradient_boosting_strong', 'horizon': 'H12', 'val_select': 0.0519, 'val_eval': -0.0009}","{'representation': 'corridor_5atr', 'model_key': 'extra_trees_regressor', 'horizon': 'H12', 'val_select': 0.0042, 'val_eval': 0.0475, 'selection_forbidden': True}","{'representation': 'nearest_k60', 'model_key': 'xgboost_depth5', 'horizon': 'H12', 'val_select': 0.0373, 'val_eval': 0.0274}",False,-0.010934067546882597,0.2537248269618986
nearest_k80_sequence,transformer_small,42,entry_log_ratio,3,0.02274999776257959,0.027465213363328717,0.09673315767792635,0.011111644272529614,0.0720235279890116,"{'representation': 'nearest_k80', 'model_key': 'hist_gradient_boosting_strong', 'horizon': 'H12', 'val_select': 0.0519, 'val_eval': -0.0009}","{'representation': 'corridor_5atr', 'model_key': 'extra_trees_regressor', 'horizon': 'H12', 'val_select': 0.0042, 'val_eval': 0.0475, 'selection_forbidden': True}","{'representation': 'nearest_k60', 'model_key': 'xgboost_depth5', 'horizon': 'H12', 'val_select': 0.0373, 'val_eval': 0.0274}",True,-0.014979290597662384,0.0065381326383078765
nearest_k80_sequence,transformer_small,42,entry_log_ratio,6,0.02317332444471379,0.03185693963980022,0.13046448209025732,0.014397631230620442,0.0918951535184198,"{'representation': 'nearest_k80', 'model_key': 'hist_gradient_boosting_strong', 'horizon': 'H12', 'val_select': 0.0519, 'val_eval': -0.0009}","{'representation': 'corridor_5atr', 'model_key': 'extra_trees_regressor', 'horizon': 'H12', 'val_select': 0.0042, 'val_eval': 0.0475, 'selection_forbidden': True}","{'representation': 'nearest_k60', 'model_key': 'xgboost_depth5', 'horizon': 'H12', 'val_select': 0.0373, 'val_eval': 0.0274}",True,-0.014330318054747675,0.017905851419626084
