universe;count;mean;median;std;p10;p25;p75;p90;share_above_original_threshold
all_rows;9415;-0.18613380156804904;-0.027418986;0.31418209370373085;-0.7671368999999999;-0.16587789;-0.01175022875;-0.0039296001;0.6557620817843867
old_signal_nonzero;478;-0.740569134115272;-0.83561628;0.3467473421492926;-1.1255179899999999;-1.028413325;-0.5004950425;-0.17362384799999994;0.07531380753138076
candidate_A_0.10;9415;-0.18613380156804904;-0.027418986;0.31418209370373085;-0.7671368999999999;-0.16587789;-0.01175022875;-0.0039296001;0.6557620817843867
candidate_A_0.20;9334;-0.18739669936720738;-0.027756564499999997;0.3148699454613848;-0.7688561509999999;-0.1722113725;-0.01195528025;-0.004093465199999995;0.6532033426183844
candidate_A_0.30;8574;-0.19899892331450184;-0.0319377515;0.32152370975325456;-0.795109972;-0.208910715;-0.013142421500000001;-0.004877834120000002;0.6302775833916492
candidate_A_0.40;4987;-0.2569668921106178;-0.0546221;0.3561921292846872;-0.9114715999999999;-0.40208347;-0.016263224;-0.007857841199999998;0.5381993182273912
candidate_A_0.50;1021;-0.46640065445245843;-0.33141917;0.4359931664603157;-1.1079171;-0.896276;-0.034603283;-0.01589936;0.33496571988246815
candidate_A_0.60;97;-0.6808444083659794;-0.84515643;0.469164201569781;-1.20128814;-1.097633;-0.1248011;-0.01948773879999999;0.20618556701030927
candidate_A_0.70;2;-1.0585138;-1.0585138;0.0072134000000000364;-1.06428452;-1.0621205;-1.0549070999999999;-1.05274308;0.0
candidate_A_0.80;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
candidate_A_0.90;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
candidate_C_0.10;9415;-0.18613380156804904;-0.027418986;0.31418209370373085;-0.7671368999999999;-0.16587789;-0.01175022875;-0.0039296001;0.6557620817843867
candidate_C_0.20;9415;-0.18613380156804904;-0.027418986;0.31418209370373085;-0.7671368999999999;-0.16587789;-0.01175022875;-0.0039296001;0.6557620817843867
candidate_C_0.30;8876;-0.192431377692847;-0.029204227;0.3180222631091431;-0.780207465;-0.188473915;-0.01240242625;-0.0042293519;0.6434204596665164
candidate_C_0.40;3125;-0.2502094716572736;-0.048285156;0.3579503610768851;-0.9115414799999999;-0.36966193;-0.016176239;-0.006822541400000002;0.5568
candidate_C_0.50;258;-0.3641650630630232;-0.080859582;0.44238025772746337;-1.11689379;-0.75864619;-0.019921235750000002;-0.010496945699999996;0.4883720930232558
candidate_C_0.60;16;-0.51296786985625;-0.505570175;0.4681445671792184;-1.1531251;-1.0549070999999999;-0.01713997875;-0.0096200777;0.3125
candidate_C_0.70;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
candidate_C_0.80;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
candidate_C_0.90;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
candidate_D_0.10;9415;-0.18613380156804904;-0.027418986;0.31418209370373085;-0.7671368999999999;-0.16587789;-0.01175022875;-0.0039296001;0.6557620817843867
candidate_D_0.20;9415;-0.18613380156804904;-0.027418986;0.31418209370373085;-0.7671368999999999;-0.16587789;-0.01175022875;-0.0039296001;0.6557620817843867
candidate_D_0.30;9280;-0.18275348393804763;-0.0271640905;0.3106524157816248;-0.75051831;-0.15909780499999998;-0.0116773025;-0.00390626937;0.6586206896551724
candidate_D_0.40;417;-0.1316522554579928;-0.01801914;0.26193118281061;-0.46203864;-0.09013294;-0.0071765184;-0.001882928599999997;0.7266187050359713
candidate_D_0.50;1;-0.34889156;-0.34889156;0.0;-0.34889156;-0.34889156;-0.34889156;-0.34889156;0.0
candidate_D_0.60;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
candidate_D_0.70;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
candidate_D_0.80;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
candidate_D_0.90;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
