kind;seed_a;seed_b;count_a;count_b;intersection;union;jaccard
selected;7;17;26;27;23;30;0.7666666666666667
sequential;7;17;26;26;23;29;0.7931034482758621
selected;7;42;26;26;22;30;0.7333333333333333
sequential;7;42;26;25;22;29;0.7586206896551724
selected;7;77;26;35;25;36;0.6944444444444444
sequential;7;77;26;32;24;34;0.7058823529411765
selected;7;123;26;27;25;28;0.8928571428571429
sequential;7;123;26;27;25;28;0.8928571428571429
selected;17;42;27;26;24;29;0.8275862068965517
sequential;17;42;26;25;23;28;0.8214285714285714
selected;17;77;27;35;26;36;0.7222222222222222
sequential;17;77;26;32;25;33;0.7575757575757576
selected;17;123;27;27;25;29;0.8620689655172413
sequential;17;123;26;27;25;28;0.8928571428571429
selected;42;77;26;35;25;36;0.6944444444444444
sequential;42;77;25;32;24;33;0.7272727272727273
selected;42;123;26;27;24;29;0.8275862068965517
sequential;42;123;25;27;24;28;0.8571428571428571
selected;77;123;35;27;26;36;0.7222222222222222
sequential;77;123;32;27;25;34;0.7352941176470589
