time;seed_count;seeds
2022.11.22 14:00;5;7,17,42,77,123
2023.01.24 18:00;5;7,17,42,77,123
2023.04.13 17:00;5;7,17,42,77,123
2023.05.15 17:00;5;7,17,42,77,123
2023.05.19 20:00;5;7,17,42,77,123
2023.11.22 21:00;5;7,17,42,77,123
2024.02.05 17:00;5;7,17,42,77,123
2024.05.20 21:00;5;7,17,42,77,123
2024.07.01 17:00;5;7,17,42,77,123
2024.07.25 20:00;5;7,17,42,77,123
2024.08.20 16:00;5;7,17,42,77,123
2024.11.26 02:00;5;7,17,42,77,123
2025.02.14 23:00;5;7,17,42,77,123
2025.03.10 22:00;5;7,17,42,77,123
2025.04.09 02:00;5;7,17,42,77,123
2025.06.16 01:00;5;7,17,42,77,123
2025.06.30 01:00;5;7,17,42,77,123
2025.07.17 15:00;5;7,17,42,77,123
2025.08.08 01:00;5;7,17,42,77,123
2025.08.20 04:00;5;7,17,42,77,123
2025.10.31 01:00;5;7,17,42,77,123
2022.12.02 16:00;4;7,17,77,123
2023.02.20 11:00;4;17,42,77,123
2023.09.22 10:00;4;7,42,77,123
2025.05.15 09:00;4;7,17,77,123
2022.10.13 21:00;3;17,42,123
2023.01.18 20:00;2;17,77
2025.12.19 04:00;2;42,77
2026.03.04 13:00;2;7,123
2023.05.26 10:00;1;77
2023.09.14 15:00;1;7
2023.12.05 03:00;1;77
2025.05.20 06:00;1;77
2026.01.21 22:00;1;77
2026.03.03 04:00;1;77
