seed;split;year;trades;pf;mean_pnl_atr
7;test_sequential;2022;2;0.0;-1.8890426
7;test_sequential;2023;7;1.8208227778495032;1.2873520142857142
7;test_sequential;2024;6;6.362491025611524;1.8224250933333332
7;test_sequential;2025;10;inf;3.96071593
7;test_sequential;2026;1;0.0;-1.1048508
17;test_sequential;2022;3;0.0;-2.8800284000000005
17;test_sequential;2023;7;2.816446678819105;1.650737957142857
17;test_sequential;2024;6;6.362491025611524;1.8224250933333332
17;test_sequential;2025;10;inf;3.96071593
42;test_sequential;2022;2;0.0;-3.4650426000000003
42;test_sequential;2023;7;1.1041822041269365;0.16339601428571424
42;test_sequential;2024;6;6.362491025611524;1.8224250933333332
42;test_sequential;2025;10;6.1061445435376;2.93255159
77;test_sequential;2022;2;0.0;-1.8890426
77;test_sequential;2023;10;0.5864009488839547;-0.8550107400000002
77;test_sequential;2024;6;6.362491025611524;1.8224250933333332
77;test_sequential;2025;12;3.1679731860666975;2.2587328
77;test_sequential;2026;2;0.832258351299091;-0.6792479999999999
123;test_sequential;2022;3;0.0;-2.8800284000000005
123;test_sequential;2023;7;1.1041822041269365;0.16339601428571424
123;test_sequential;2024;6;6.362491025611524;1.8224250933333332
123;test_sequential;2025;10;inf;3.96071593
123;test_sequential;2026;1;0.0;-1.1048508
