seed;split;threshold;candidate;target_coverage;coverage;coverage_gap;score_threshold;trades;pf;win_rate;mean_pnl_atr;period_mode;eligible_periods;stable_periods;stability_ratio;worst_period_pf;period_detail_json;sequential_trades;sequential_pf;sequential_win_rate;sequential_mean_pnl_atr;sequential_coverage_vs_selected
7;validation;-0.0188811885;A_seed_validation_threshold;0.075;0.07610993657505286;0.0011099365750528584;-0.0188811885;36.0;2.6413807252769304;0.6388888888888888;1.4125578599999997;half_year;0.0;0.0;0.0;;"{""2019H1"": {""mean_pnl"": 2.045238, ""pf"": Infinity, ""trades"": 1}, ""2019H2"": {""mean_pnl"": 3.709390928571428, ""pf"": Infinity, ""trades"": 7}, ""2020H1"": {""mean_pnl"": 0.6694682750000001, ""pf"": 1.5259417290030277, ""trades"": 8}, ""2020H2"": {""mean_pnl"": -2.0421052, ""pf"": 0.0, ""trades"": 1}, ""2021H1"": {""mean_pnl"": 2.321262742857143, ""pf"": 4.05863554026986, ""trades"": 7}, ""2021H2"": {""mean_pnl"": -1.6892417079999997, ""pf"": 0.0, ""trades"": 5}, ""2022H1"": {""mean_pnl"": 1.6749766857142856, ""pf"": 3.3462021662000705, ""trades"": 7}}";;;;;
7;test;-0.0188811885;A_seed_validation_threshold;0.075;0.08333333333333333;0.008333333333333331;-0.0188811885;40.0;6.204965136054028;0.75;2.6775977205000006;year;3.0;3.0;1.0;3.3575876872030364;"{""2022"": {""mean_pnl"": -1.8293617333333334, ""pf"": 0.0, ""trades"": 3}, ""2023"": {""mean_pnl"": 2.58829523, ""pf"": 3.3575876872030364, ""trades"": 10}, ""2024"": {""mean_pnl"": 2.0592284120000004, ""pf"": 7.8509703484432904, ""trades"": 10}, ""2025"": {""mean_pnl"": 4.201350525, ""pf"": Infinity, ""trades"": 16}, ""2026"": {""mean_pnl"": -1.1048508, ""pf"": 0.0, ""trades"": 1}}";26.0;4.054102394598922;0.6923076923076923;2.10270146;0.65
17;validation;-0.047621693;A_seed_validation_threshold;0.075;0.07610993657505286;0.0011099365750528584;-0.047621693;36.0;2.304128219224493;0.6111111111111112;1.2567548683333334;half_year;0.0;0.0;0.0;;"{""2019H1"": {""mean_pnl"": 2.045238, ""pf"": Infinity, ""trades"": 1}, ""2019H2"": {""mean_pnl"": 3.709390928571428, ""pf"": Infinity, ""trades"": 7}, ""2020H1"": {""mean_pnl"": 1.1690027, ""pf"": 2.1124455850463297, ""trades"": 7}, ""2020H2"": {""mean_pnl"": -2.5791607, ""pf"": 0.0, ""trades"": 2}, ""2021H1"": {""mean_pnl"": 2.391820416666666, ""pf"": 3.7013770678559235, ""trades"": 6}, ""2021H2"": {""mean_pnl"": -2.0361567066666666, ""pf"": 0.0, ""trades"": 6}, ""2022H1"": {""mean_pnl"": 1.7247887142857141, ""pf"": 3.5971909944497624, ""trades"": 7}}";;;;;
17;test;-0.047621693;A_seed_validation_threshold;0.075;0.07916666666666666;0.004166666666666666;-0.047621693;38.0;5.811061374855582;0.7631578947368421;2.3923628478947365;year;2.0;2.0;1.0;7.8509703484432904;"{""2022"": {""mean_pnl"": -2.8800284000000005, ""pf"": 0.0, ""trades"": 3}, ""2023"": {""mean_pnl"": 1.5780913625, ""pf"": 2.9845799800421666, ""trades"": 8}, ""2024"": {""mean_pnl"": 2.0592284120000004, ""pf"": 7.8509703484432904, ""trades"": 10}, ""2025"": {""mean_pnl"": 3.901932847058823, ""pf"": 75.6361275949367, ""trades"": 17}}";26.0;4.1370292421613;0.7307692307692307;2.0560303984615382;0.6842105263157895
42;validation;-0.131882885;A_seed_validation_threshold;0.075;0.07610993657505286;0.0011099365750528584;-0.131882885;36.0;2.8880904438217803;0.6666666666666666;1.4563720520277776;year;2.0;2.0;1.0;1.1689438562407832;"{""2019"": {""mean_pnl"": 3.5013718124999995, ""pf"": Infinity, ""trades"": 8}, ""2020"": {""mean_pnl"": 0.22468470729999995, ""pf"": 1.1689438562407832, ""trades"": 10}, ""2021"": {""mean_pnl"": 0.9180046636363635, ""pf"": 2.0282707922079717, ""trades"": 11}, ""2022"": {""mean_pnl"": 1.7247887142857141, ""pf"": 3.5971909944497624, ""trades"": 7}}";;;;;
42;test;-0.131882885;A_seed_validation_threshold;0.075;0.07708333333333334;0.00208333333333334;-0.131882885;37.0;3.6567059105682413;0.7297297297297297;1.9779059600000004;year;2.0;2.0;1.0;7.8509703484432904;"{""2022"": {""mean_pnl"": -3.4650426000000003, ""pf"": 0.0, ""trades"": 2}, ""2023"": {""mean_pnl"": 0.889729811111111, ""pf"": 1.7293814171468123, ""trades"": 9}, ""2024"": {""mean_pnl"": 2.0592284120000004, ""pf"": 7.8509703484432904, ""trades"": 10}, ""2025"": {""mean_pnl"": 3.21954708125, ""pf"": 8.767382963247346, ""trades"": 16}}";25.0;2.3418651709156997;0.68;1.3789501344;0.6756756756756757
77;validation;-0.0289384705;A_seed_validation_threshold;0.075;0.07610993657505286;0.0011099365750528584;-0.0289384705;36.0;2.2116844919397147;0.6388888888888888;1.2165866759166666;year;2.0;2.0;1.0;1.0203234122736369;"{""2019"": {""mean_pnl"": 3.5013718124999995, ""pf"": Infinity, ""trades"": 8}, ""2020"": {""mean_pnl"": 0.3320958073, ""pf"": 1.27164722807579, ""trades"": 10}, ""2021"": {""mean_pnl"": 0.03560606909090908, ""pf"": 1.0203234122736369, ""trades"": 11}, ""2022"": {""mean_pnl"": 1.7247887142857141, ""pf"": 3.5971909944497624, ""trades"": 7}}";;;;;
77;test;-0.0289384705;A_seed_validation_threshold;0.075;0.10208333333333333;0.027083333333333334;-0.0289384705;49.0;2.0023586259089146;0.6122448979591837;1.1906460085714285;year;3.0;2.0;0.6666666666666666;0.9184271402010271;"{""2022"": {""mean_pnl"": -1.8890426, ""pf"": 0.0, ""trades"": 4}, ""2023"": {""mean_pnl"": -0.1405259333333334, ""pf"": 0.9184271402010271, ""trades"": 12}, ""2024"": {""mean_pnl"": 2.0592284120000004, ""pf"": 7.8509703484432904, ""trades"": 10}, ""2025"": {""mean_pnl"": 2.472759935, ""pf"": 3.783634934412212, ""trades"": 20}, ""2026"": {""mean_pnl"": -0.8211155999999998, ""pf"": 0.7323493782448477, ""trades"": 3}}";32.0;1.5171433511048498;0.59375;0.76102048625;0.6530612244897959
123;validation;-0.07197763;A_seed_validation_threshold;0.075;0.07610993657505286;0.0011099365750528584;-0.07197763;36.0;2.3717032807048475;0.6111111111111112;1.2842120766666665;half_year;0.0;0.0;0.0;;"{""2019H1"": {""mean_pnl"": 2.045238, ""pf"": Infinity, ""trades"": 1}, ""2019H2"": {""mean_pnl"": 3.709390928571428, ""pf"": Infinity, ""trades"": 7}, ""2020H1"": {""mean_pnl"": 0.6694682750000001, ""pf"": 1.5259417290030277, ""trades"": 8}, ""2020H2"": {""mean_pnl"": -2.4230769, ""pf"": 0.0, ""trades"": 1}, ""2021H1"": {""mean_pnl"": 1.665811214285714, ""pf"": 2.457094682276249, ""trades"": 7}, ""2021H2"": {""mean_pnl"": -1.6892417079999997, ""pf"": 0.0, ""trades"": 5}, ""2022H1"": {""mean_pnl"": 1.7247887142857141, ""pf"": 3.5971909944497624, ""trades"": 7}}";;;;;
123;test;-0.07197763;A_seed_validation_threshold;0.075;0.08541666666666667;0.010416666666666671;-0.07197763;41.0;3.9918716605607676;0.7073170731707317;2.0072790151219513;year;2.0;2.0;1.0;7.8509703484432904;"{""2022"": {""mean_pnl"": -2.4836340800000003, ""pf"": 0.0, ""trades"": 5}, ""2023"": {""mean_pnl"": 0.889729811111111, ""pf"": 1.7293814171468123, ""trades"": 9}, ""2024"": {""mean_pnl"": 2.0592284120000004, ""pf"": 7.8509703484432904, ""trades"": 10}, ""2025"": {""mean_pnl"": 4.201350525, ""pf"": Infinity, ""trades"": 16}, ""2026"": {""mean_pnl"": -1.1048508, ""pf"": 0.0, ""trades"": 1}}";27.0;2.8425207344058134;0.6666666666666666;1.5533535540740742;0.6585365853658537
