kind;seed_a;seed_b;count_a;count_b;intersection;union;jaccard
selected;7;17;71;43;43;71;0.6056338028169014
sequential;7;17;62;40;37;65;0.5692307692307692
selected;7;42;71;26;26;71;0.36619718309859156
sequential;7;42;62;25;23;64;0.359375
selected;7;77;71;64;58;77;0.7532467532467533
sequential;7;77;62;54;46;70;0.6571428571428571
selected;7;123;71;34;34;71;0.4788732394366197
sequential;7;123;62;33;29;66;0.4393939393939394
selected;17;42;43;26;26;43;0.6046511627906976
sequential;17;42;40;25;25;40;0.625
selected;17;77;43;64;43;64;0.671875
sequential;17;77;40;54;37;57;0.6491228070175439
selected;17;123;43;34;32;45;0.7111111111111111
sequential;17;123;40;33;31;42;0.7380952380952381
selected;42;77;26;64;26;64;0.40625
sequential;42;77;25;54;23;56;0.4107142857142857
selected;42;123;26;34;26;34;0.7647058823529411
sequential;42;123;25;33;25;33;0.7575757575757576
selected;77;123;64;34;34;64;0.53125
sequential;77;123;54;33;30;57;0.5263157894736842
