seed;split;candidate;target_coverage;coverage;coverage_gap;score_threshold;trades;pf;win_rate;mean_pnl_atr;period_mode;eligible_periods;stable_periods;stability_ratio;worst_period_pf;period_detail_json;sequential_trades;sequential_pf;sequential_win_rate;sequential_mean_pnl_atr;sequential_coverage_vs_selected
7;validation;A_frozen_42;0.075;0.22410147991543342;0.14910147991543343;-0.131882885;106.0;0.34111384614221607;0.2641509433962264;-1.5497616034622643;year;4.0;1.0;0.25;0.21364474962032642;"{""2019"": {""mean_pnl"": 0.37896671500000007, ""pf"": 1.276271351612906, ""trades"": 16}, ""2020"": {""mean_pnl"": -2.2007868494999996, ""pf"": 0.21364474962032642, ""trades"": 26}, ""2021"": {""mean_pnl"": -1.848709102439024, ""pf"": 0.23519562419301684, ""trades"": 41}, ""2022"": {""mean_pnl"": -1.6226376573913044, ""pf"": 0.32757016173691983, ""trades"": 23}}";;;;;
7;test;A_frozen_42;0.075;0.18958333333333333;0.11458333333333333;-0.131882885;91.0;0.8657086375344757;0.4175824175824176;-0.2691050857912088;year;3.0;1.0;0.3333333333333333;0.6159934445389119;"{""2022"": {""mean_pnl"": -0.09997177142857153, ""pf"": 0.943646899868599, ""trades"": 7}, ""2023"": {""mean_pnl"": -0.8982485942799999, ""pf"": 0.6422737769676332, ""trades"": 25}, ""2024"": {""mean_pnl"": -0.6024452750000001, ""pf"": 0.6159934445389119, ""trades"": 26}, ""2025"": {""mean_pnl"": 0.34669428965517224, ""pf"": 1.175871587399506, ""trades"": 29}, ""2026"": {""mean_pnl"": 1.0692243000000001, ""pf"": 1.4646987564896954, ""trades"": 4}}";62.0;0.5436055735672931;0.3548387096774194;-1.121921472048387;0.6813186813186813
17;validation;A_frozen_42;0.075;0.1226215644820296;0.0476215644820296;-0.131882885;58.0;0.8956142882160985;0.43103448275862066;-0.16497301718965524;year;3.0;1.0;0.3333333333333333;0.4337167119183224;"{""2019"": {""mean_pnl"": 3.1101937477777772, ""pf"": 1456.570615737175, ""trades"": 9}, ""2020"": {""mean_pnl"": -1.1276643403888889, ""pf"": 0.4337167119183224, ""trades"": 18}, ""2021"": {""mean_pnl"": -1.0521913809523809, ""pf"": 0.49681603927482604, ""trades"": 21}, ""2022"": {""mean_pnl"": 0.4833798399999999, ""pf"": 1.4065976577568184, ""trades"": 10}}";;;;;
17;test;A_frozen_42;0.075;0.12291666666666666;0.04791666666666666;-0.131882885;59.0;1.3990547053138245;0.576271186440678;0.7001708155932203;year;3.0;2.0;0.6666666666666666;0.9276713543196806;"{""2022"": {""mean_pnl"": -2.4836340800000003, ""pf"": 0.0, ""trades"": 5}, ""2023"": {""mean_pnl"": -0.20272464000000004, ""pf"": 0.9276713543196806, ""trades"": 15}, ""2024"": {""mean_pnl"": 0.9253801657142857, ""pf"": 2.0644445480205977, ""trades"": 14}, ""2025"": {""mean_pnl"": 1.7469112636363635, ""pf"": 2.334929988476447, ""trades"": 22}, ""2026"": {""mean_pnl"": 1.793916, ""pf"": 1.664516702598182, ""trades"": 3}}";40.0;0.9031580972719955;0.525;-0.22243825850000004;0.6779661016949152
42;validation;A_frozen_42;0.075;0.07610993657505286;0.0011099365750528584;-0.131882885;36.0;2.8880904438217803;0.6666666666666666;1.4563720520277776;year;2.0;2.0;1.0;1.1689438562407832;"{""2019"": {""mean_pnl"": 3.5013718124999995, ""pf"": Infinity, ""trades"": 8}, ""2020"": {""mean_pnl"": 0.22468470729999995, ""pf"": 1.1689438562407832, ""trades"": 10}, ""2021"": {""mean_pnl"": 0.9180046636363635, ""pf"": 2.0282707922079717, ""trades"": 11}, ""2022"": {""mean_pnl"": 1.7247887142857141, ""pf"": 3.5971909944497624, ""trades"": 7}}";;;;;
42;test;A_frozen_42;0.075;0.07708333333333334;0.00208333333333334;-0.131882885;37.0;3.6567059105682413;0.7297297297297297;1.9779059600000004;year;2.0;2.0;1.0;7.8509703484432904;"{""2022"": {""mean_pnl"": -3.4650426000000003, ""pf"": 0.0, ""trades"": 2}, ""2023"": {""mean_pnl"": 0.889729811111111, ""pf"": 1.7293814171468123, ""trades"": 9}, ""2024"": {""mean_pnl"": 2.0592284120000004, ""pf"": 7.8509703484432904, ""trades"": 10}, ""2025"": {""mean_pnl"": 3.21954708125, ""pf"": 8.767382963247346, ""trades"": 16}}";25.0;2.3418651709156997;0.68;1.3789501344;0.6756756756756757
77;validation;A_frozen_42;0.075;0.16279069767441862;0.08779069767441862;-0.131882885;77.0;0.5539503698204834;0.35064935064935066;-0.8737545894415585;year;4.0;1.0;0.25;0.2704321486259182;"{""2019"": {""mean_pnl"": 2.0497753845454545, ""pf"": 5.126979976135095, ""trades"": 11}, ""2020"": {""mean_pnl"": -1.8234938272608696, ""pf"": 0.2704321486259182, ""trades"": 23}, ""2021"": {""mean_pnl"": -1.482782522222222, ""pf"": 0.3527219627094432, ""trades"": 27}, ""2022"": {""mean_pnl"": -0.49069665562500003, ""pf"": 0.6984003740118998, ""trades"": 16}}";;;;;
77;test;A_frozen_42;0.075;0.17083333333333334;0.09583333333333334;-0.131882885;82.0;0.969948380476153;0.45121951219512196;-0.05951263475609738;year;3.0;2.0;0.6666666666666666;0.7036843901610761;"{""2022"": {""mean_pnl"": -0.09997177142857153, ""pf"": 0.943646899868599, ""trades"": 7}, ""2023"": {""mean_pnl"": -0.821160835, ""pf"": 0.7036843901610761, ""trades"": 20}, ""2024"": {""mean_pnl"": 0.06730072949999996, ""pf"": 1.0566021399495522, ""trades"": 20}, ""2025"": {""mean_pnl"": 0.30280715866666663, ""pf"": 1.1537156450440276, ""trades"": 30}, ""2026"": {""mean_pnl"": 0.3625507399999999, ""pf"": 1.1553646709284424, ""trades"": 5}}";54.0;0.5746756852691841;0.37037037037037035;-1.117484972777778;0.6585365853658537
123;validation;A_frozen_42;0.075;0.09936575052854123;0.02436575052854123;-0.131882885;47.0;1.3413206507430582;0.5319148936170213;0.4382739409148935;year;2.0;0.0;0.0;0.5554126040972723;"{""2019"": {""mean_pnl"": 3.0177625999999997, ""pf"": 32.911067074557, ""trades"": 9}, ""2020"": {""mean_pnl"": -0.18486125225000002, ""pf"": 0.8751257643775047, ""trades"": 12}, ""2021"": {""mean_pnl"": -0.9378826529411765, ""pf"": 0.5554126040972723, ""trades"": 17}, ""2022"": {""mean_pnl"": 1.2890391055555552, ""pf"": 2.975583097348199, ""trades"": 9}}";;;;;
123;test;A_frozen_42;0.075;0.10208333333333333;0.027083333333333334;-0.131882885;49.0;2.7761685581153306;0.6530612244897959;1.7715736963265307;year;3.0;3.0;1.0;2.4009018480803266;"{""2022"": {""mean_pnl"": -1.0931644, ""pf"": 0.4718234499342995, ""trades"": 6}, ""2023"": {""mean_pnl"": 1.8964162416666668, ""pf"": 2.4009018480803266, ""trades"": 12}, ""2024"": {""mean_pnl"": 1.625769156363637, ""pf"": 4.129449673004997, ""trades"": 11}, ""2025"": {""mean_pnl"": 2.8331838263157896, ""pf"": 5.019866149016993, ""trades"": 19}, ""2026"": {""mean_pnl"": -1.1048508, ""pf"": 0.0, ""trades"": 1}}";33.0;1.86333260985839;0.6060606060606061;1.1312204684848486;0.673469387755102
