seed;split;year;trades;pf;mean_pnl_atr;gross_profit;gross_loss
7;test_sequential;2022;4;0.6781396090862621;-0.6952253;5.859184;8.640085200000001
7;test_sequential;2023;19;0.3798310078496075;-1.831013766157895;21.307160543;56.096422100000005
7;test_sequential;2024;18;0.44046366960831074;-1.0234587727777777;14.501891800000001;32.92414971
7;test_sequential;2025;19;0.7383060177927815;-0.6425376105263156;34.442512699999995;46.6507273
7;test_sequential;2026;2;0.832258351299091;-0.6792479999999999;6.740244;8.09874
17;test_sequential;2022;3;0.0;-2.8800284000000005;0.0;8.640085200000001
17;test_sequential;2023;12;0.5263743397691423;-1.6593631499999997;22.1300387;42.0423965
17;test_sequential;2024;9;1.5153292696932814;0.5479739955555556;14.501891800000001;9.57012584
17;test_sequential;2025;14;1.6835829781523264;1.1486887642857144;39.6071593;23.525516600000003
17;test_sequential;2026;2;0.832258351299091;-0.6792479999999999;6.740244;8.09874
42;test_sequential;2022;2;0.0;-3.4650426000000003;0.0;6.930085200000001
42;test_sequential;2023;7;1.1041822041269365;0.16339601428571424;12.1223467;10.9785746
42;test_sequential;2024;6;6.362491025611524;1.8224250933333332;12.973631;2.03908044
42;test_sequential;2025;10;6.1061445435376;2.93255159;35.0686976;5.7431817
77;test_sequential;2022;4;0.6781396090862621;-0.6952253;5.859184;8.640085200000001
77;test_sequential;2023;16;0.3606699355123404;-2.21466905625;19.9900387;55.4247436
77;test_sequential;2024;12;1.0022961246721869;0.0027684891666666287;14.501891800000001;14.46866993
77;test_sequential;2025;19;0.6525467611369493;-0.9652191999999999;34.442512699999995;52.7816775
77;test_sequential;2026;3;0.6381064412951255;-1.2742131666666665;6.740244;10.5628835
123;test_sequential;2022;4;0.6781396090862621;-0.6952253;5.859184;8.640085200000001
123;test_sequential;2023;9;1.362306941191042;0.653945188888889;22.1300387;16.244532
123;test_sequential;2024;7;2.7324965789534605;1.17510388;12.973631;4.74790384
123;test_sequential;2025;12;3.1679731860666975;2.2587328;39.6071593;12.5023657
123;test_sequential;2026;1;0.0;-1.1048508;0.0;1.1048508
