seed;split;year;trades;pf;mean_pnl_atr;gross_profit;gross_loss
7;validation;2019;16;1.276271351612906;0.37896671500000007;28.010974499999996;21.94750706
7;validation;2020;26;0.21364474962032642;-2.2007868494999996;15.546218373;72.76667646
7;validation;2021;41;0.23519562419301684;-1.848709102439024;23.30941154;99.10648474
7;validation;2022;23;0.32757016173691983;-1.6226376573913044;18.18053861;55.50120473
7;test;2022;7;0.943646899868599;-0.09997177142857153;11.718368;12.418170400000001
7;test;2023;25;0.6422737769676332;-0.8982485942799999;40.318648743;62.7748636
7;test;2024;26;0.6159934445389119;-0.6024452750000001;25.126292;40.78986915
7;test;2025;29;1.175871587399506;0.34669428965517224;67.2216084;57.167474000000006
7;test;2026;4;1.4646987564896954;1.0692243000000001;13.480488;9.203590799999999
17;validation;2019;9;1456.570615737175;3.1101937477777772;28.010974499999996;0.01923077
17;validation;2020;18;0.4337167119183224;-1.1276643403888889;15.546218373;35.844176499999996
17;validation;2021;21;0.49681603927482604;-1.0521913809523809;21.81638824;43.91240724000001
17;validation;2022;10;1.4065976577568184;0.4833798399999999;16.7222053;11.8884069
17;test;2022;5;0.0;-2.4836340800000003;0.0;12.418170400000001
17;test;2023;15;0.9276713543196806;-0.20272464000000004;39.0015269;42.0423965
17;test;2024;14;2.0644445480205977;0.9253801657142857;25.126292;12.170969679999999
17;test;2025;22;2.334929988476447;1.7469112636363635;67.2216084;28.789560600000005
17;test;2026;3;1.664516702598182;1.793916;13.480488;8.09874
42;validation;2019;8;inf;3.5013718124999995;28.010974499999996;-0.0
42;validation;2020;10;1.1689438562407832;0.22468470729999995;15.546218373;13.2993713
42;validation;2021;11;2.0282707922079717;0.9180046636363635;19.91847154;9.820420239999999
42;validation;2022;7;3.5971909944497624;1.7247887142857141;16.7222053;4.6486843
42;test;2022;2;0.0;-3.4650426000000003;0.0;6.930085200000001
42;test;2023;9;1.7293814171468123;0.889729811111111;18.986142899999997;10.9785746
42;test;2024;10;7.8509703484432904;2.0592284120000004;23.598031200000005;3.0057470800000003
42;test;2025;16;8.767382963247346;3.21954708125;58.14468500000001;6.6319317
77;validation;2019;11;5.126979976135095;2.0497753845454545;28.010974499999996;5.46344527
77;validation;2020;23;0.2704321486259182;-1.8234938272608696;15.546218373;57.4865764
77;validation;2021;27;0.3527219627094432;-1.482782522222222;21.81638824;61.851516339999996
77;validation;2022;16;0.6984003740118998;-0.49069665562500003;18.18053861;26.0316851
77;test;2022;7;0.943646899868599;-0.09997177142857153;11.718368;12.418170400000001
77;test;2023;20;0.7036843901610761;-0.821160835;39.0015269;55.4247436
77;test;2024;20;1.0566021399495522;0.06730072949999996;25.126292;23.780277410000004
77;test;2025;30;1.1537156450440276;0.30280715866666663;68.18174356;59.097528800000006
77;test;2026;5;1.1553646709284424;0.3625507399999999;13.480488;11.6677343
123;validation;2019;9;32.911067074557;3.0177625999999997;28.010974499999996;0.8511111
123;validation;2020;12;0.8751257643775047;-0.18486125225000002;15.546218373;17.7645534
123;validation;2021;17;0.5554126040972723;-0.9378826529411765;19.91847154;35.862476640000004
123;validation;2022;9;2.975583097348199;1.2890391055555552;17.47372045;5.8723685
123;test;2022;6;0.4718234499342995;-1.0931644;5.859184;12.418170400000001
123;test;2023;12;2.4009018480803266;1.8964162416666668;39.0015269;16.244532
123;test;2024;11;4.129449673004997;1.625769156363637;23.598031200000005;5.71457048
123;test;2025;19;5.019866149016993;2.8331838263157896;67.2216084;13.3911157
123;test;2026;1;0.0;-1.1048508;0.0;1.1048508
