filled;close_reason;pnl_r;hold_bars;ambiguous;exit_price;exit_time;position_id;split;split_row_id;entry_id;mask_id;exit_id;stop_policy_id;stop_family;entry_floor_atr;fractal0_buffer_atr;stop_source;stop_distance_atr;risk_distance_atr;side;entry_effective_price;entry_bid_equivalent;protective_stop_price;r_value;signal_time;fill_time;fill_index;filter_id;spread;score_cutoff_on_val_select;entry_filter_score_col;tp_distance_atr
True;ML_CLOSE;-0.1462962962962871;0;False;1385.54;2019-06-20 18:00:00;S2_fractal0_buffer_0_5_entry_floor_2:E3_open_pullback_1_0atr:0;val_select;0;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_50;S2_fractal0_buffer_0_5_entry_floor_2;fractal0_buffer_entry_floor;2.0;0.5;entry_floor;2.0000000000000338;2.0000000000000338;SELL;1384.75;1384.75;1390.15;5.400000000000091;2019-06-20 16:00:00;2019-06-20 18:00:00;86822;M0_no_mask;0.2;;;
True;ML_CLOSE;-0.10000000000003369;0;False;1393.3600000000001;2019-06-21 03:00:00;S2_fractal0_buffer_0_5_entry_floor_2:E3_open_pullback_1_0atr:3;val_select;3;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_50;S2_fractal0_buffer_0_5_entry_floor_2;fractal0_buffer_entry_floor;2.0;0.5;entry_floor;2.0000000000000338;2.0000000000000338;SELL;1392.82;1392.82;1398.22;5.400000000000091;2019-06-20 21:00:00;2019-06-21 03:00:00;86830;M0_no_mask;0.2;;;
True;ML_CLOSE;-0.013333333333321207;5;False;1398.27;2019-06-21 21:00:00;S2_fractal0_buffer_0_5_entry_floor_2:E3_open_pullback_1_0atr:7;val_select;7;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_50;S2_fractal0_buffer_0_5_entry_floor_2;fractal0_buffer_entry_floor;2.0;0.5;entry_floor;2.0;2.0;SELL;1398.19;1398.19;1404.19;6.0;2019-06-21 14:00:00;2019-06-21 16:00:00;86843;M0_no_mask;0.2;;;
True;TIME;3.2080645161289882;24;False;1415.03;2019-06-24 19:00:00;S2_fractal0_buffer_0_5_entry_floor_2:E3_open_pullback_1_0atr:8;val_select;8;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_50;S2_fractal0_buffer_0_5_entry_floor_2;fractal0_buffer_entry_floor;2.0;0.5;entry_floor;2.0;2.0;BUY;1395.14;1394.94;1388.94;6.2000000000000455;2019-06-21 16:00:00;2019-06-21 18:00:00;86845;M0_no_mask;0.2;;;
True;ML_CLOSE;0.21333333333329088;0;False;1394.3300000000002;2019-06-21 19:00:00;S2_fractal0_buffer_0_5_entry_floor_2:E3_open_pullback_1_0atr:9;val_select;9;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_50;S2_fractal0_buffer_0_5_entry_floor_2;fractal0_buffer_entry_floor;2.0;0.5;entry_floor;2.0;2.0;SELL;1395.61;1395.61;1401.61;6.0;2019-06-21 17:00:00;2019-06-21 19:00:00;86846;M0_no_mask;0.2;;;
True;TIME;3.069587628866004;24;False;1419.18;2019-06-24 21:00:00;S2_fractal0_buffer_0_5_entry_floor_2:E3_open_pullback_1_0atr:10;val_select;10;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_50;S2_fractal0_buffer_0_5_entry_floor_2;fractal0_buffer_entry_floor;2.0;0.5;fractal0_buffer;2.519999999999982;2.519999999999982;BUY;1395.36;1395.1599999999999;1387.6;7.759999999999991;2019-06-21 18:00:00;2019-06-21 20:00:00;86847;M0_no_mask;0.2;;;
True;SL;-1.0;0;False;1407.17;2019-06-24 01:00:00;S2_fractal0_buffer_0_5_entry_floor_2:E3_open_pullback_1_0atr:11;val_select;11;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_50;S2_fractal0_buffer_0_5_entry_floor_2;fractal0_buffer_entry_floor;2.0;0.5;entry_floor;2.0;2.0;SELL;1401.17;1401.17;1407.17;6.0;2019-06-21 21:00:00;2019-06-24 01:00:00;86851;M0_no_mask;0.2;;;
True;ML_CLOSE;-0.6966666666666773;0;False;1407.05;2019-06-24 02:00:00;S2_fractal0_buffer_0_5_entry_floor_2:E3_open_pullback_1_0atr:12;val_select;12;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_50;S2_fractal0_buffer_0_5_entry_floor_2;fractal0_buffer_entry_floor;2.0;0.5;entry_floor;2.0;2.0;SELL;1402.87;1402.87;1408.87;6.0;2019-06-21 23:00:00;2019-06-24 02:00:00;86852;M0_no_mask;0.2;;;
True;ML_CLOSE;0.23636363636363136;13;False;1408.65;2019-06-24 17:00:00;S2_fractal0_buffer_0_5_entry_floor_2:E3_open_pullback_1_0atr:13;val_select;13;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_50;S2_fractal0_buffer_0_5_entry_floor_2;fractal0_buffer_entry_floor;2.0;0.5;entry_floor;1.9999999999999725;1.9999999999999725;SELL;1410.21;1410.21;1416.81;6.599999999999909;2019-06-24 02:00:00;2019-06-24 04:00:00;86854;M0_no_mask;0.2;;;
True;TIME;2.9823529411764866;24;False;1423.25;2019-06-25 08:00:00;S2_fractal0_buffer_0_5_entry_floor_2:E3_open_pullback_1_0atr:15;val_select;15;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_50;S2_fractal0_buffer_0_5_entry_floor_2;fractal0_buffer_entry_floor;2.0;0.5;entry_floor;1.9999999999999725;1.9999999999999725;BUY;1402.97;1402.77;1396.17;6.7999999999999545;2019-06-24 05:00:00;2019-06-24 07:00:00;86857;M0_no_mask;0.2;;;
