original_rank;rule_id;profile_id;model_id;target_id;filter_id;status;baseline_family_count;bucket_min_trades_val_select;bucket_min_pf_val_select;bucket_min_bs_p05_val_select;ml_pf_val_eval;ml_n_trades_val_eval;selection_split;evaluation_split;uses_rich_entry_score;locked_test;locked_test_status;baseline_selection_status;eligible_bucket_count;selected_family;selected_bucket;selected_pf_val_select;selected_bs_p05_val_select;selected_n_trades_val_select;baseline_pf_val_eval;baseline_bs_p05_val_eval;baseline_n_trades_val_eval;baseline_to_ml_pf_ratio;pf_zero_loss_policy;risk_flag
1;rank01_time_only_linear_target_entry_ev_regression_top30;time_only;linear;target_entry_ev_regression;top30;COMPUTED;3;30;1.2;1.0;4.0697196590305955;639;val_select;val_eval;False;not_opened;not_opened;SELECTED_ON_VAL_SELECT;33;hour;1;7.58582986900079;3.6623122326697493;61;3.4950338532020013;1.694274021745584;59;0.8587898297728243;standard_gross_profit_div_gross_loss;True
2;rank02_time_only_linear_target_entry_ev_regression_top40;time_only;linear;target_entry_ev_regression;top40;COMPUTED;3;30;1.2;1.0;3.723513294053727;889;val_select;val_eval;False;not_opened;not_opened;SELECTED_ON_VAL_SELECT;33;hour;1;7.58582986900079;3.6623122326697493;61;3.4950338532020013;1.694274021745584;59;0.9386387471164407;standard_gross_profit_div_gross_loss;True
3;rank03_time_only_linear_target_entry_ev_regression_top50;time_only;linear;target_entry_ev_regression;top50;COMPUTED;3;30;1.2;1.0;3.5736558428707914;1087;val_select;val_eval;False;not_opened;not_opened;SELECTED_ON_VAL_SELECT;33;hour;1;7.58582986900079;3.6623122326697493;61;3.4950338532020013;1.694274021745584;59;0.9779995631572537;standard_gross_profit_div_gross_loss;True
4;rank04_time_only_linear_target_entry_good_0_5r_top40;time_only;linear;target_entry_good_0_5r;top40;COMPUTED;3;30;1.2;1.0;3.7279084574013557;840;val_select;val_eval;False;not_opened;not_opened;SELECTED_ON_VAL_SELECT;33;hour;1;7.58582986900079;3.6623122326697493;61;3.4950338532020013;1.694274021745584;59;0.9375321022872739;standard_gross_profit_div_gross_loss;True
5;rank05_time_only_linear_target_entry_avoid_sl_top30;time_only;linear;target_entry_avoid_sl;top30;COMPUTED;3;30;1.2;1.0;3.7629964570253853;570;val_select;val_eval;False;not_opened;not_opened;SELECTED_ON_VAL_SELECT;33;hour;1;7.58582986900079;3.6623122326697493;61;3.4950338532020013;1.694274021745584;59;0.92879009935736;standard_gross_profit_div_gross_loss;True
6;rank06_time_only_linear_target_entry_good_0_5r_top50;time_only;linear;target_entry_good_0_5r;top50;COMPUTED;3;30;1.2;1.0;3.582646340002227;1099;val_select;val_eval;False;not_opened;not_opened;SELECTED_ON_VAL_SELECT;33;hour;1;7.58582986900079;3.6623122326697493;61;3.4950338532020013;1.694274021745584;59;0.9755453152542622;standard_gross_profit_div_gross_loss;True
7;rank07_movement_plus_time_linear_target_entry_good_0_5r_top40;movement_plus_time;linear;target_entry_good_0_5r;top40;COMPUTED;3;30;1.2;1.0;3.312123675915076;979;val_select;val_eval;False;not_opened;not_opened;SELECTED_ON_VAL_SELECT;33;hour;1;7.58582986900079;3.6623122326697493;61;3.4950338532020013;1.694274021745584;59;1.055224440626116;standard_gross_profit_div_gross_loss;True
8;rank08_movement_plus_time_linear_target_entry_good_0_5r_top30;movement_plus_time;linear;target_entry_good_0_5r;top30;COMPUTED;3;30;1.2;1.0;3.4238059292333443;760;val_select;val_eval;False;not_opened;not_opened;SELECTED_ON_VAL_SELECT;33;hour;1;7.58582986900079;3.6623122326697493;61;3.4950338532020013;1.694274021745584;59;1.0208037270338528;standard_gross_profit_div_gross_loss;True
9;rank09_time_only_hist_gradient_boosting_target_entry_good_0_5r_top50;time_only;hist_gradient_boosting;target_entry_good_0_5r;top50;COMPUTED;3;30;1.2;1.0;3.292614626679009;1107;val_select;val_eval;False;not_opened;not_opened;SELECTED_ON_VAL_SELECT;33;hour;1;7.58582986900079;3.6623122326697493;61;3.4950338532020013;1.694274021745584;59;1.0614767440085011;standard_gross_profit_div_gross_loss;True
10;rank10_movement_plus_time_linear_target_entry_ev_regression_top50;movement_plus_time;linear;target_entry_ev_regression;top50;COMPUTED;3;30;1.2;1.0;3.2778371318237234;1335;val_select;val_eval;False;not_opened;not_opened;SELECTED_ON_VAL_SELECT;33;hour;1;7.58582986900079;3.6623122326697493;61;3.4950338532020013;1.694274021745584;59;1.0662622066452196;standard_gross_profit_div_gross_loss;True
11;rank11_movement_plus_time_linear_target_entry_good_0_5r_top50;movement_plus_time;linear;target_entry_good_0_5r;top50;COMPUTED;3;30;1.2;1.0;3.2668771652402633;1223;val_select;val_eval;False;not_opened;not_opened;SELECTED_ON_VAL_SELECT;33;hour;1;7.58582986900079;3.6623122326697493;61;3.4950338532020013;1.694274021745584;59;1.0698393837360451;standard_gross_profit_div_gross_loss;True
