original_rank;rule_id;profile_id;model_id;target_id;filter_id;status;permutation_status;permutation_repeats;permutation_repeats_with_pf;calendar_features;calendar_feature_count;pf_original;pf_permuted_median;pf_drop_ratio;risk_flag;row_count_preserved;index_alignment_preserved;non_calendar_features_preserved;grouping;small_group_min_rows;small_group_skipped_count;permuted_group_count;deterministic_seed_formula;locked_test;locked_test_status
1;rank01_time_only_linear_target_entry_ev_regression_top30;time_only;linear;target_entry_ev_regression;top30;COMPUTED;COMPUTED;50;50;session_hour_unit,weekday_unit,hour_sin_unit,hour_cos_unit,weekday_sin_unit,weekday_cos_unit;6;4.0697196590305955;2.553128346406136;0.37265252638696755;True;True;True;True;year_side;5;0;200;1000 + original_rank + repeat_index;not_opened;not_opened
2;rank02_time_only_linear_target_entry_ev_regression_top40;time_only;linear;target_entry_ev_regression;top40;COMPUTED;COMPUTED;50;50;session_hour_unit,weekday_unit,hour_sin_unit,hour_cos_unit,weekday_sin_unit,weekday_cos_unit;6;3.723513294053727;2.571135817188397;0.3094866019964591;True;True;True;True;year_side;5;0;200;1000 + original_rank + repeat_index;not_opened;not_opened
3;rank03_time_only_linear_target_entry_ev_regression_top50;time_only;linear;target_entry_ev_regression;top50;COMPUTED;COMPUTED;50;50;session_hour_unit,weekday_unit,hour_sin_unit,hour_cos_unit,weekday_sin_unit,weekday_cos_unit;6;3.5736558428707914;2.555848634127356;0.2848084016746867;False;True;True;True;year_side;5;0;200;1000 + original_rank + repeat_index;not_opened;not_opened
4;rank04_time_only_linear_target_entry_good_0_5r_top40;time_only;linear;target_entry_good_0_5r;top40;COMPUTED;COMPUTED;50;50;session_hour_unit,weekday_unit,hour_sin_unit,hour_cos_unit,weekday_sin_unit,weekday_cos_unit;6;3.7279084574013557;2.5566597726306166;0.3141838642645188;True;True;True;True;year_side;5;0;200;1000 + original_rank + repeat_index;not_opened;not_opened
5;rank05_time_only_linear_target_entry_avoid_sl_top30;time_only;linear;target_entry_avoid_sl;top30;COMPUTED;COMPUTED;50;50;session_hour_unit,weekday_unit,hour_sin_unit,hour_cos_unit,weekday_sin_unit,weekday_cos_unit;6;3.7629964570253853;2.518494837928535;0.33072091172804813;True;True;True;True;year_side;5;0;200;1000 + original_rank + repeat_index;not_opened;not_opened
6;rank06_time_only_linear_target_entry_good_0_5r_top50;time_only;linear;target_entry_good_0_5r;top50;COMPUTED;COMPUTED;50;50;session_hour_unit,weekday_unit,hour_sin_unit,hour_cos_unit,weekday_sin_unit,weekday_cos_unit;6;3.582646340002227;2.5504263772947855;0.28811662239226205;False;True;True;True;year_side;5;0;200;1000 + original_rank + repeat_index;not_opened;not_opened
7;rank07_movement_plus_time_linear_target_entry_good_0_5r_top40;movement_plus_time;linear;target_entry_good_0_5r;top40;COMPUTED;COMPUTED;50;50;session_hour_unit,weekday_unit,hour_sin_unit,hour_cos_unit,weekday_sin_unit,weekday_cos_unit;6;3.312123675915076;2.589535311245518;0.21816466876645868;False;True;True;True;year_side;5;0;200;1000 + original_rank + repeat_index;not_opened;not_opened
8;rank08_movement_plus_time_linear_target_entry_good_0_5r_top30;movement_plus_time;linear;target_entry_good_0_5r;top30;COMPUTED;COMPUTED;50;50;session_hour_unit,weekday_unit,hour_sin_unit,hour_cos_unit,weekday_sin_unit,weekday_cos_unit;6;3.4238059292333443;2.5754806550222114;0.24777259334938098;False;True;True;True;year_side;5;0;200;1000 + original_rank + repeat_index;not_opened;not_opened
9;rank09_time_only_hist_gradient_boosting_target_entry_good_0_5r_top50;time_only;hist_gradient_boosting;target_entry_good_0_5r;top50;COMPUTED;COMPUTED;50;50;session_hour_unit,weekday_unit,hour_sin_unit,hour_cos_unit,weekday_sin_unit,weekday_cos_unit;6;3.292614626679009;2.5828260428208303;0.21556989333248647;False;True;True;True;year_side;5;0;200;1000 + original_rank + repeat_index;not_opened;not_opened
10;rank10_movement_plus_time_linear_target_entry_ev_regression_top50;movement_plus_time;linear;target_entry_ev_regression;top50;COMPUTED;COMPUTED;50;50;session_hour_unit,weekday_unit,hour_sin_unit,hour_cos_unit,weekday_sin_unit,weekday_cos_unit;6;3.2778371318237234;2.5703193846269814;0.21584896343006926;False;True;True;True;year_side;5;0;200;1000 + original_rank + repeat_index;not_opened;not_opened
11;rank11_movement_plus_time_linear_target_entry_good_0_5r_top50;movement_plus_time;linear;target_entry_good_0_5r;top50;COMPUTED;COMPUTED;50;50;session_hour_unit,weekday_unit,hour_sin_unit,hour_cos_unit,weekday_sin_unit,weekday_cos_unit;6;3.2668771652402633;2.6098774659249586;0.20110939777773537;False;True;True;True;year_side;5;0;200;1000 + original_rank + repeat_index;not_opened;not_opened
