original_rank;rule_id;decision;reasons;risk_reasons;risk_flag;allowed_max_verdict;new_winner_selected;locked_test;locked_test_status;stress_cost_row_count;timezone_rescore_row_count;calendar_permutation_row_count;calendar_no_ml_baseline_row_count;multiseed_row_count
1;rank01_time_only_linear_target_entry_ev_regression_top30;INTERNAL_CLOSURE_RISK_FLAGGED;;risk_stress_cost,risk_calendar_permutation,risk_calendar_no_ml_baseline;True;research_only;False;not_opened;not_opened;3;5;1;1;1
2;rank02_time_only_linear_target_entry_ev_regression_top40;INTERNAL_CLOSURE_RISK_FLAGGED;;risk_stress_cost,risk_calendar_permutation,risk_calendar_no_ml_baseline;True;research_only;False;not_opened;not_opened;3;5;1;1;1
3;rank03_time_only_linear_target_entry_ev_regression_top50;INTERNAL_CLOSURE_RISK_FLAGGED;;risk_stress_cost,risk_calendar_no_ml_baseline;True;research_only;False;not_opened;not_opened;3;5;1;1;1
4;rank04_time_only_linear_target_entry_good_0_5r_top40;INTERNAL_CLOSURE_RISK_FLAGGED;;risk_stress_cost,risk_calendar_permutation,risk_calendar_no_ml_baseline;True;research_only;False;not_opened;not_opened;3;5;1;1;1
5;rank05_time_only_linear_target_entry_avoid_sl_top30;INTERNAL_CLOSURE_RISK_FLAGGED;;risk_stress_cost,risk_calendar_permutation,risk_calendar_no_ml_baseline;True;research_only;False;not_opened;not_opened;3;5;1;1;1
6;rank06_time_only_linear_target_entry_good_0_5r_top50;INTERNAL_CLOSURE_RISK_FLAGGED;;risk_stress_cost,risk_calendar_no_ml_baseline;True;research_only;False;not_opened;not_opened;3;5;1;1;1
7;rank07_movement_plus_time_linear_target_entry_good_0_5r_top40;INTERNAL_CLOSURE_RISK_FLAGGED;;risk_calendar_no_ml_baseline;True;research_only;False;not_opened;not_opened;3;5;1;1;1
8;rank08_movement_plus_time_linear_target_entry_good_0_5r_top30;INTERNAL_CLOSURE_RISK_FLAGGED;;risk_calendar_no_ml_baseline;True;research_only;False;not_opened;not_opened;3;5;1;1;1
9;rank09_time_only_hist_gradient_boosting_target_entry_good_0_5r_top50;INTERNAL_CLOSURE_RISK_FLAGGED;;risk_stress_cost,risk_calendar_no_ml_baseline;True;research_only;False;not_opened;not_opened;3;5;1;1;1
10;rank10_movement_plus_time_linear_target_entry_ev_regression_top50;INTERNAL_CLOSURE_RISK_FLAGGED;;risk_calendar_no_ml_baseline;True;research_only;False;not_opened;not_opened;3;5;1;1;1
11;rank11_movement_plus_time_linear_target_entry_good_0_5r_top50;INTERNAL_CLOSURE_RISK_FLAGGED;;risk_calendar_no_ml_baseline;True;research_only;False;not_opened;not_opened;3;5;1;1;1
