rule_id;computed_seed_count;passing_seed_count;pf_min;pf_median;bs_p05_min;n_trades_min;risk_flag;status;diagnostic;fixed_cutoff_policy;winner_selected;locked_test;locked_test_status;original_rank;profile_id;model_id;target_id;filter_id
rank01_time_only_linear_target_entry_ev_regression_top30;5;5;4.069719659030596;4.069719659030596;3.425498859311634;639;False;COMPUTED;frozen_cutoff_seed_stress;source_rules_csv_score_cutoff_on_val_select;False;not_opened;not_opened;1;time_only;linear;target_entry_ev_regression;top30
rank02_time_only_linear_target_entry_ev_regression_top40;5;5;3.723513294053727;3.723513294053727;3.094047471019743;889;False;COMPUTED;frozen_cutoff_seed_stress;source_rules_csv_score_cutoff_on_val_select;False;not_opened;not_opened;2;time_only;linear;target_entry_ev_regression;top40
rank03_time_only_linear_target_entry_ev_regression_top50;5;5;3.5736558428707914;3.5736558428707914;3.089645734990148;1087;False;COMPUTED;frozen_cutoff_seed_stress;source_rules_csv_score_cutoff_on_val_select;False;not_opened;not_opened;3;time_only;linear;target_entry_ev_regression;top50
rank04_time_only_linear_target_entry_good_0_5r_top40;5;5;3.727908457401356;3.727908457401356;3.138626697919389;840;False;COMPUTED;frozen_cutoff_seed_stress;source_rules_csv_score_cutoff_on_val_select;False;not_opened;not_opened;4;time_only;linear;target_entry_good_0_5r;top40
rank05_time_only_linear_target_entry_avoid_sl_top30;5;5;3.762996457025385;3.762996457025385;3.107830087591563;570;False;COMPUTED;frozen_cutoff_seed_stress;source_rules_csv_score_cutoff_on_val_select;False;not_opened;not_opened;5;time_only;linear;target_entry_avoid_sl;top30
rank06_time_only_linear_target_entry_good_0_5r_top50;5;5;3.582646340002227;3.582646340002227;3.105367308136909;1099;False;COMPUTED;frozen_cutoff_seed_stress;source_rules_csv_score_cutoff_on_val_select;False;not_opened;not_opened;6;time_only;linear;target_entry_good_0_5r;top50
rank07_movement_plus_time_linear_target_entry_good_0_5r_top40;5;5;3.312123675915076;3.312123675915076;2.8836238567909103;979;False;COMPUTED;frozen_cutoff_seed_stress;source_rules_csv_score_cutoff_on_val_select;False;not_opened;not_opened;7;movement_plus_time;linear;target_entry_good_0_5r;top40
rank08_movement_plus_time_linear_target_entry_good_0_5r_top30;5;5;3.4238059292333443;3.4238059292333443;2.855082109917759;760;False;COMPUTED;frozen_cutoff_seed_stress;source_rules_csv_score_cutoff_on_val_select;False;not_opened;not_opened;8;movement_plus_time;linear;target_entry_good_0_5r;top30
rank09_time_only_hist_gradient_boosting_target_entry_good_0_5r_top50;5;5;3.0292670947958142;3.292614626679009;2.6026893564473608;1086;False;COMPUTED;frozen_cutoff_seed_stress;source_rules_csv_score_cutoff_on_val_select;False;not_opened;not_opened;9;time_only;hist_gradient_boosting;target_entry_good_0_5r;top50
rank10_movement_plus_time_linear_target_entry_ev_regression_top50;5;5;3.2778371318237234;3.2778371318237234;2.834292102379781;1335;False;COMPUTED;frozen_cutoff_seed_stress;source_rules_csv_score_cutoff_on_val_select;False;not_opened;not_opened;10;movement_plus_time;linear;target_entry_ev_regression;top50
rank11_movement_plus_time_linear_target_entry_good_0_5r_top50;5;5;3.2668771652402637;3.2668771652402637;2.833848757080637;1223;False;COMPUTED;frozen_cutoff_seed_stress;source_rules_csv_score_cutoff_on_val_select;False;not_opened;not_opened;11;movement_plus_time;linear;target_entry_good_0_5r;top50
