original_rank;rule_id;profile_id;model_id;target_id;filter_id;locked_test_policy;run_group;seed;spread;timezone_shift_hours;provider_drift_status;transfer_status;locked_test_status
1;rank01_time_only_linear_target_entry_ev_regression_top30;time_only;linear;target_entry_ev_regression;top30;not_opened;stress_cost;42;0.2;0;NOT_IN_SCOPE;NOT_IN_SCOPE;not_opened
2;rank02_time_only_linear_target_entry_ev_regression_top40;time_only;linear;target_entry_ev_regression;top40;not_opened;stress_cost;42;0.2;0;NOT_IN_SCOPE;NOT_IN_SCOPE;not_opened
3;rank03_time_only_linear_target_entry_ev_regression_top50;time_only;linear;target_entry_ev_regression;top50;not_opened;stress_cost;42;0.2;0;NOT_IN_SCOPE;NOT_IN_SCOPE;not_opened
4;rank04_time_only_linear_target_entry_good_0_5r_top40;time_only;linear;target_entry_good_0_5r;top40;not_opened;stress_cost;42;0.2;0;NOT_IN_SCOPE;NOT_IN_SCOPE;not_opened
5;rank05_time_only_linear_target_entry_avoid_sl_top30;time_only;linear;target_entry_avoid_sl;top30;not_opened;stress_cost;42;0.2;0;NOT_IN_SCOPE;NOT_IN_SCOPE;not_opened
6;rank06_time_only_linear_target_entry_good_0_5r_top50;time_only;linear;target_entry_good_0_5r;top50;not_opened;stress_cost;42;0.2;0;NOT_IN_SCOPE;NOT_IN_SCOPE;not_opened
7;rank07_movement_plus_time_linear_target_entry_good_0_5r_top40;movement_plus_time;linear;target_entry_good_0_5r;top40;not_opened;stress_cost;42;0.2;0;NOT_IN_SCOPE;NOT_IN_SCOPE;not_opened
8;rank08_movement_plus_time_linear_target_entry_good_0_5r_top30;movement_plus_time;linear;target_entry_good_0_5r;top30;not_opened;stress_cost;42;0.2;0;NOT_IN_SCOPE;NOT_IN_SCOPE;not_opened
9;rank09_time_only_hist_gradient_boosting_target_entry_good_0_5r_top50;time_only;hist_gradient_boosting;target_entry_good_0_5r;top50;not_opened;stress_cost;42;0.2;0;NOT_IN_SCOPE;NOT_IN_SCOPE;not_opened
10;rank10_movement_plus_time_linear_target_entry_ev_regression_top50;movement_plus_time;linear;target_entry_ev_regression;top50;not_opened;stress_cost;42;0.2;0;NOT_IN_SCOPE;NOT_IN_SCOPE;not_opened
11;rank11_movement_plus_time_linear_target_entry_good_0_5r_top50;movement_plus_time;linear;target_entry_good_0_5r;top50;not_opened;stress_cost;42;0.2;0;NOT_IN_SCOPE;NOT_IN_SCOPE;not_opened
1;rank01_time_only_linear_target_entry_ev_regression_top30;time_only;linear;target_entry_ev_regression;top30;not_opened;stress_cost;42;0.4;0;NOT_IN_SCOPE;NOT_IN_SCOPE;not_opened
2;rank02_time_only_linear_target_entry_ev_regression_top40;time_only;linear;target_entry_ev_regression;top40;not_opened;stress_cost;42;0.4;0;NOT_IN_SCOPE;NOT_IN_SCOPE;not_opened
3;rank03_time_only_linear_target_entry_ev_regression_top50;time_only;linear;target_entry_ev_regression;top50;not_opened;stress_cost;42;0.4;0;NOT_IN_SCOPE;NOT_IN_SCOPE;not_opened
4;rank04_time_only_linear_target_entry_good_0_5r_top40;time_only;linear;target_entry_good_0_5r;top40;not_opened;stress_cost;42;0.4;0;NOT_IN_SCOPE;NOT_IN_SCOPE;not_opened
5;rank05_time_only_linear_target_entry_avoid_sl_top30;time_only;linear;target_entry_avoid_sl;top30;not_opened;stress_cost;42;0.4;0;NOT_IN_SCOPE;NOT_IN_SCOPE;not_opened
6;rank06_time_only_linear_target_entry_good_0_5r_top50;time_only;linear;target_entry_good_0_5r;top50;not_opened;stress_cost;42;0.4;0;NOT_IN_SCOPE;NOT_IN_SCOPE;not_opened
7;rank07_movement_plus_time_linear_target_entry_good_0_5r_top40;movement_plus_time;linear;target_entry_good_0_5r;top40;not_opened;stress_cost;42;0.4;0;NOT_IN_SCOPE;NOT_IN_SCOPE;not_opened
8;rank08_movement_plus_time_linear_target_entry_good_0_5r_top30;movement_plus_time;linear;target_entry_good_0_5r;top30;not_opened;stress_cost;42;0.4;0;NOT_IN_SCOPE;NOT_IN_SCOPE;not_opened
9;rank09_time_only_hist_gradient_boosting_target_entry_good_0_5r_top50;time_only;hist_gradient_boosting;target_entry_good_0_5r;top50;not_opened;stress_cost;42;0.4;0;NOT_IN_SCOPE;NOT_IN_SCOPE;not_opened
10;rank10_movement_plus_time_linear_target_entry_ev_regression_top50;movement_plus_time;linear;target_entry_ev_regression;top50;not_opened;stress_cost;42;0.4;0;NOT_IN_SCOPE;NOT_IN_SCOPE;not_opened
11;rank11_movement_plus_time_linear_target_entry_good_0_5r_top50;movement_plus_time;linear;target_entry_good_0_5r;top50;not_opened;stress_cost;42;0.4;0;NOT_IN_SCOPE;NOT_IN_SCOPE;not_opened
1;rank01_time_only_linear_target_entry_ev_regression_top30;time_only;linear;target_entry_ev_regression;top30;not_opened;stress_cost;42;0.8;0;NOT_IN_SCOPE;NOT_IN_SCOPE;not_opened
2;rank02_time_only_linear_target_entry_ev_regression_top40;time_only;linear;target_entry_ev_regression;top40;not_opened;stress_cost;42;0.8;0;NOT_IN_SCOPE;NOT_IN_SCOPE;not_opened
3;rank03_time_only_linear_target_entry_ev_regression_top50;time_only;linear;target_entry_ev_regression;top50;not_opened;stress_cost;42;0.8;0;NOT_IN_SCOPE;NOT_IN_SCOPE;not_opened
4;rank04_time_only_linear_target_entry_good_0_5r_top40;time_only;linear;target_entry_good_0_5r;top40;not_opened;stress_cost;42;0.8;0;NOT_IN_SCOPE;NOT_IN_SCOPE;not_opened
5;rank05_time_only_linear_target_entry_avoid_sl_top30;time_only;linear;target_entry_avoid_sl;top30;not_opened;stress_cost;42;0.8;0;NOT_IN_SCOPE;NOT_IN_SCOPE;not_opened
6;rank06_time_only_linear_target_entry_good_0_5r_top50;time_only;linear;target_entry_good_0_5r;top50;not_opened;stress_cost;42;0.8;0;NOT_IN_SCOPE;NOT_IN_SCOPE;not_opened
7;rank07_movement_plus_time_linear_target_entry_good_0_5r_top40;movement_plus_time;linear;target_entry_good_0_5r;top40;not_opened;stress_cost;42;0.8;0;NOT_IN_SCOPE;NOT_IN_SCOPE;not_opened
