rule_id;original_rank;profile_id;model_id;target_id;filter_id;n_trades;gross_profit;gross_loss;pf;max_drawdown_r;bs_p05;pf_without_best_year;effective_profit_years;net_pnl_r;representative_score;representative_rule_id;duplicate_cluster_id;cluster_size
rank10_movement_plus_time_linear_target_entry_ev_regression_top50;10;movement_plus_time;linear;target_entry_ev_regression;top50;241;98.94318818352563;36.728755844060856;2.693888913733108;3.369521855566425;1.927254428301627;2.2976619233958484;3.842512589266184;62.21443233946478;0.5719667391733391;rank10_movement_plus_time_linear_target_entry_ev_regression_top50;1;2
rank08_movement_plus_time_linear_target_entry_good_0_5r_top30;8;movement_plus_time;linear;target_entry_good_0_5r;top30;418;168.57226364927942;63.025590206044775;2.6746637849511434;4.497485624387721;2.033983020347093;2.646435967682771;3.8139410550883217;105.54667344323465;0.45224892088987956;rank10_movement_plus_time_linear_target_entry_ev_regression_top50;1;2
rank05_time_only_linear_target_entry_avoid_sl_top30;5;time_only;linear;target_entry_avoid_sl;top30;1196;567.1010643628664;172.0741619546688;3.2956782001487444;5.639783579370317;2.8492022941183768;3.258599784589845;3.722657612738448;395.0269024081976;0.5051970973745221;rank05_time_only_linear_target_entry_avoid_sl_top30;2;1
rank02_time_only_linear_target_entry_ev_regression_top40;2;time_only;linear;target_entry_ev_regression;top40;1782;785.2352756472415;253.94368318153823;3.092163056821916;5.781990227052347;2.763168691586334;3.0841766310798984;3.7785027051606415;531.2915924657032;0.47789231442457736;rank02_time_only_linear_target_entry_ev_regression_top40;3;5
rank03_time_only_linear_target_entry_ev_regression_top50;3;time_only;linear;target_entry_ev_regression;top50;2214;1017.141436565728;321.38050835290164;3.1649132729879965;6.850697710045552;2.880525690045354;3.1553159183712016;3.7941806530835054;695.7609282128263;0.4204718719118904;rank02_time_only_linear_target_entry_ev_regression_top40;3;5
rank06_time_only_linear_target_entry_good_0_5r_top50;6;time_only;linear;target_entry_good_0_5r;top50;2235;1006.527084119606;328.407498675914;3.064872416670633;6.850697710045552;2.6997773302588044;3.0555893290774305;3.766196256564048;678.119585443692;0.3940879373935845;rank02_time_only_linear_target_entry_ev_regression_top40;3;5
rank01_time_only_linear_target_entry_ev_regression_top30;1;time_only;linear;target_entry_ev_regression;top30;1207;547.3975411991585;162.59305890884812;3.366672260628524;8.01323337653838;2.829948992787961;3.164027524939426;3.788595374830936;384.8044822903104;0.35315943762147917;rank02_time_only_linear_target_entry_ev_regression_top40;3;5
rank04_time_only_linear_target_entry_good_0_5r_top40;4;time_only;linear;target_entry_good_0_5r;top40;1707;776.0291432483241;236.01973400742912;3.287984144681297;8.389089820935851;2.923856656424035;3.269439822710455;3.849675131922957;540.0094092408949;0.3485308560086274;rank02_time_only_linear_target_entry_ev_regression_top40;3;5
rank11_movement_plus_time_linear_target_entry_good_0_5r_top50;11;movement_plus_time;linear;target_entry_good_0_5r;top50;693;303.2648677836347;97.435636570016;3.112463555012672;5.892054608802397;2.612772743410343;2.973386775683731;3.824802280435125;205.8292312136187;0.4434400080927641;rank11_movement_plus_time_linear_target_entry_good_0_5r_top50;4;2
rank07_movement_plus_time_linear_target_entry_good_0_5r_top40;7;movement_plus_time;linear;target_entry_good_0_5r;top40;549;218.8608466482216;76.79378921172585;2.849981084340127;5.279797040747269;2.2696129705255443;2.8370418018491064;3.94913240368518;142.06705743649576;0.4298674651714108;rank11_movement_plus_time_linear_target_entry_good_0_5r_top50;4;2
rank09_time_only_hist_gradient_boosting_target_entry_good_0_5r_top50;9;time_only;hist_gradient_boosting;target_entry_good_0_5r;top50;2265;1052.6235409070491;363.5114165351442;2.89570971646576;7.657777489729597;2.6220756694518954;2.6496269557995897;3.5655063237992404;689.1121243719049;0.3424068762729855;rank09_time_only_hist_gradient_boosting_target_entry_good_0_5r_top50;5;1
