original_rank;rule_id;profile_id;model_id;target_id;filter_id;decision;interpretation;reasons;disclosures;allowed_max_verdict;new_winner_selected
1;rank01_time_only_linear_target_entry_ev_regression_top30;time_only;linear;target_entry_ev_regression;top30;RULE_ROBUSTNESS_INCOMPLETE;stable_but_time_explained_needs_cost_resimulation;stricter_cutoff_sample_fragile,stress_costs_not_computable;sequential_position_constraint_not_run,timezone_shift_not_run,calendar_permutation_importance_not_run;research_only;False
2;rank02_time_only_linear_target_entry_ev_regression_top40;time_only;linear;target_entry_ev_regression;top40;RULE_ROBUSTNESS_INCOMPLETE;stable_but_time_explained_needs_cost_resimulation;stress_costs_not_computable;sequential_position_constraint_not_run,timezone_shift_not_run,calendar_permutation_importance_not_run;research_only;False
3;rank03_time_only_linear_target_entry_ev_regression_top50;time_only;linear;target_entry_ev_regression;top50;RULE_ROBUSTNESS_INCOMPLETE;stable_but_time_explained_needs_cost_resimulation;stress_costs_not_computable;sequential_position_constraint_not_run,timezone_shift_not_run,calendar_permutation_importance_not_run;research_only;False
4;rank04_time_only_linear_target_entry_good_0_5r_top40;time_only;linear;target_entry_good_0_5r;top40;RULE_ROBUSTNESS_INCOMPLETE;stable_but_time_explained_needs_cost_resimulation;stricter_cutoff_sample_fragile,stress_costs_not_computable;sequential_position_constraint_not_run,timezone_shift_not_run,calendar_permutation_importance_not_run;research_only;False
5;rank05_time_only_linear_target_entry_avoid_sl_top30;time_only;linear;target_entry_avoid_sl;top30;RULE_ROBUSTNESS_INCOMPLETE;stable_but_time_explained_needs_cost_resimulation;stricter_cutoff_sample_fragile,stress_costs_not_computable;sequential_position_constraint_not_run,timezone_shift_not_run,calendar_permutation_importance_not_run;research_only;False
6;rank06_time_only_linear_target_entry_good_0_5r_top50;time_only;linear;target_entry_good_0_5r;top50;RULE_ROBUSTNESS_INCOMPLETE;stable_but_time_explained_needs_cost_resimulation;stricter_cutoff_sample_fragile,stress_costs_not_computable;sequential_position_constraint_not_run,timezone_shift_not_run,calendar_permutation_importance_not_run;research_only;False
7;rank07_movement_plus_time_linear_target_entry_good_0_5r_top40;movement_plus_time;linear;target_entry_good_0_5r;top40;RULE_ROBUSTNESS_INCOMPLETE;time_heavy_not_additive_evidence_needs_cost_resimulation;stricter_cutoff_sample_fragile,stress_costs_not_computable;sequential_position_constraint_not_run,timezone_shift_not_run,calendar_permutation_importance_not_run;research_only;False
8;rank08_movement_plus_time_linear_target_entry_good_0_5r_top30;movement_plus_time;linear;target_entry_good_0_5r;top30;RULE_ROBUSTNESS_INCOMPLETE;time_heavy_not_additive_evidence_needs_cost_resimulation;stricter_cutoff_sample_fragile,stress_costs_not_computable;sequential_position_constraint_not_run,timezone_shift_not_run,calendar_permutation_importance_not_run;research_only;False
9;rank09_time_only_hist_gradient_boosting_target_entry_good_0_5r_top50;time_only;hist_gradient_boosting;target_entry_good_0_5r;top50;RULE_ROBUSTNESS_INCOMPLETE;stable_but_time_explained_needs_cost_resimulation;stricter_cutoff_sample_fragile,stress_costs_not_computable;sequential_position_constraint_not_run,timezone_shift_not_run,calendar_permutation_importance_not_run;research_only;False
10;rank10_movement_plus_time_linear_target_entry_ev_regression_top50;movement_plus_time;linear;target_entry_ev_regression;top50;RULE_ROBUSTNESS_INCOMPLETE;time_heavy_not_additive_evidence_needs_cost_resimulation;stress_costs_not_computable;sequential_position_constraint_not_run,timezone_shift_not_run,calendar_permutation_importance_not_run;research_only;False
11;rank11_movement_plus_time_linear_target_entry_good_0_5r_top50;movement_plus_time;linear;target_entry_good_0_5r;top50;RULE_ROBUSTNESS_INCOMPLETE;time_heavy_not_additive_evidence_needs_cost_resimulation;stress_costs_not_computable;sequential_position_constraint_not_run,timezone_shift_not_run,calendar_permutation_importance_not_run;research_only;False
