rule_id;diagnostic;status;reason
rank01_time_only_linear_target_entry_ev_regression_top30;stress_costs;NOT_COMPUTABLE_FROM_SAVED_ARTIFACTS;"saved trades contain realized pnl for canonical spread only; stress spread requires explicit resimulation"
rank01_time_only_linear_target_entry_ev_regression_top30;sequential_position_constraint;NOT_RUN;position-overlap simulation is not implemented in this saved-artifact audit
rank01_time_only_linear_target_entry_ev_regression_top30;timezone_shift;NOT_RUN;requires frozen rescore of time features under predefined timezone shifts
rank01_time_only_linear_target_entry_ev_regression_top30;calendar_permutation_importance;NOT_RUN;fitted per-profile estimator is not persisted for model-level permutation importance
rank02_time_only_linear_target_entry_ev_regression_top40;stress_costs;NOT_COMPUTABLE_FROM_SAVED_ARTIFACTS;"saved trades contain realized pnl for canonical spread only; stress spread requires explicit resimulation"
rank02_time_only_linear_target_entry_ev_regression_top40;sequential_position_constraint;NOT_RUN;position-overlap simulation is not implemented in this saved-artifact audit
rank02_time_only_linear_target_entry_ev_regression_top40;timezone_shift;NOT_RUN;requires frozen rescore of time features under predefined timezone shifts
rank02_time_only_linear_target_entry_ev_regression_top40;calendar_permutation_importance;NOT_RUN;fitted per-profile estimator is not persisted for model-level permutation importance
rank03_time_only_linear_target_entry_ev_regression_top50;stress_costs;NOT_COMPUTABLE_FROM_SAVED_ARTIFACTS;"saved trades contain realized pnl for canonical spread only; stress spread requires explicit resimulation"
rank03_time_only_linear_target_entry_ev_regression_top50;sequential_position_constraint;NOT_RUN;position-overlap simulation is not implemented in this saved-artifact audit
rank03_time_only_linear_target_entry_ev_regression_top50;timezone_shift;NOT_RUN;requires frozen rescore of time features under predefined timezone shifts
rank03_time_only_linear_target_entry_ev_regression_top50;calendar_permutation_importance;NOT_RUN;fitted per-profile estimator is not persisted for model-level permutation importance
rank04_time_only_linear_target_entry_good_0_5r_top40;stress_costs;NOT_COMPUTABLE_FROM_SAVED_ARTIFACTS;"saved trades contain realized pnl for canonical spread only; stress spread requires explicit resimulation"
rank04_time_only_linear_target_entry_good_0_5r_top40;sequential_position_constraint;NOT_RUN;position-overlap simulation is not implemented in this saved-artifact audit
rank04_time_only_linear_target_entry_good_0_5r_top40;timezone_shift;NOT_RUN;requires frozen rescore of time features under predefined timezone shifts
rank04_time_only_linear_target_entry_good_0_5r_top40;calendar_permutation_importance;NOT_RUN;fitted per-profile estimator is not persisted for model-level permutation importance
rank05_time_only_linear_target_entry_avoid_sl_top30;stress_costs;NOT_COMPUTABLE_FROM_SAVED_ARTIFACTS;"saved trades contain realized pnl for canonical spread only; stress spread requires explicit resimulation"
rank05_time_only_linear_target_entry_avoid_sl_top30;sequential_position_constraint;NOT_RUN;position-overlap simulation is not implemented in this saved-artifact audit
rank05_time_only_linear_target_entry_avoid_sl_top30;timezone_shift;NOT_RUN;requires frozen rescore of time features under predefined timezone shifts
rank05_time_only_linear_target_entry_avoid_sl_top30;calendar_permutation_importance;NOT_RUN;fitted per-profile estimator is not persisted for model-level permutation importance
rank06_time_only_linear_target_entry_good_0_5r_top50;stress_costs;NOT_COMPUTABLE_FROM_SAVED_ARTIFACTS;"saved trades contain realized pnl for canonical spread only; stress spread requires explicit resimulation"
rank06_time_only_linear_target_entry_good_0_5r_top50;sequential_position_constraint;NOT_RUN;position-overlap simulation is not implemented in this saved-artifact audit
rank06_time_only_linear_target_entry_good_0_5r_top50;timezone_shift;NOT_RUN;requires frozen rescore of time features under predefined timezone shifts
rank06_time_only_linear_target_entry_good_0_5r_top50;calendar_permutation_importance;NOT_RUN;fitted per-profile estimator is not persisted for model-level permutation importance
rank07_movement_plus_time_linear_target_entry_good_0_5r_top40;stress_costs;NOT_COMPUTABLE_FROM_SAVED_ARTIFACTS;"saved trades contain realized pnl for canonical spread only; stress spread requires explicit resimulation"
rank07_movement_plus_time_linear_target_entry_good_0_5r_top40;sequential_position_constraint;NOT_RUN;position-overlap simulation is not implemented in this saved-artifact audit
rank07_movement_plus_time_linear_target_entry_good_0_5r_top40;timezone_shift;NOT_RUN;requires frozen rescore of time features under predefined timezone shifts
rank07_movement_plus_time_linear_target_entry_good_0_5r_top40;calendar_permutation_importance;NOT_RUN;fitted per-profile estimator is not persisted for model-level permutation importance
rank08_movement_plus_time_linear_target_entry_good_0_5r_top30;stress_costs;NOT_COMPUTABLE_FROM_SAVED_ARTIFACTS;"saved trades contain realized pnl for canonical spread only; stress spread requires explicit resimulation"
rank08_movement_plus_time_linear_target_entry_good_0_5r_top30;sequential_position_constraint;NOT_RUN;position-overlap simulation is not implemented in this saved-artifact audit
rank08_movement_plus_time_linear_target_entry_good_0_5r_top30;timezone_shift;NOT_RUN;requires frozen rescore of time features under predefined timezone shifts
rank08_movement_plus_time_linear_target_entry_good_0_5r_top30;calendar_permutation_importance;NOT_RUN;fitted per-profile estimator is not persisted for model-level permutation importance
rank09_time_only_hist_gradient_boosting_target_entry_good_0_5r_top50;stress_costs;NOT_COMPUTABLE_FROM_SAVED_ARTIFACTS;"saved trades contain realized pnl for canonical spread only; stress spread requires explicit resimulation"
rank09_time_only_hist_gradient_boosting_target_entry_good_0_5r_top50;sequential_position_constraint;NOT_RUN;position-overlap simulation is not implemented in this saved-artifact audit
rank09_time_only_hist_gradient_boosting_target_entry_good_0_5r_top50;timezone_shift;NOT_RUN;requires frozen rescore of time features under predefined timezone shifts
rank09_time_only_hist_gradient_boosting_target_entry_good_0_5r_top50;calendar_permutation_importance;NOT_RUN;fitted per-profile estimator is not persisted for model-level permutation importance
rank10_movement_plus_time_linear_target_entry_ev_regression_top50;stress_costs;NOT_COMPUTABLE_FROM_SAVED_ARTIFACTS;"saved trades contain realized pnl for canonical spread only; stress spread requires explicit resimulation"
rank10_movement_plus_time_linear_target_entry_ev_regression_top50;sequential_position_constraint;NOT_RUN;position-overlap simulation is not implemented in this saved-artifact audit
rank10_movement_plus_time_linear_target_entry_ev_regression_top50;timezone_shift;NOT_RUN;requires frozen rescore of time features under predefined timezone shifts
rank10_movement_plus_time_linear_target_entry_ev_regression_top50;calendar_permutation_importance;NOT_RUN;fitted per-profile estimator is not persisted for model-level permutation importance
rank11_movement_plus_time_linear_target_entry_good_0_5r_top50;stress_costs;NOT_COMPUTABLE_FROM_SAVED_ARTIFACTS;"saved trades contain realized pnl for canonical spread only; stress spread requires explicit resimulation"
rank11_movement_plus_time_linear_target_entry_good_0_5r_top50;sequential_position_constraint;NOT_RUN;position-overlap simulation is not implemented in this saved-artifact audit
rank11_movement_plus_time_linear_target_entry_good_0_5r_top50;timezone_shift;NOT_RUN;requires frozen rescore of time features under predefined timezone shifts
rank11_movement_plus_time_linear_target_entry_good_0_5r_top50;calendar_permutation_importance;NOT_RUN;fitted per-profile estimator is not persisted for model-level permutation importance
