original_rank;rule_id;profile_id;model_id;target_id;filter_id;score_cutoff_on_val_select;val_select_n_trades;val_eval_n_trades;val_eval_pf;val_eval_bs_p05_source;contract_status;split_pair_status
1;rank01_time_only_linear_target_entry_ev_regression_top30;time_only;linear;target_entry_ev_regression;top30;-0.0267181842596606;625;660;4.026757702884287;3.3954600158428163;PASS;PASS
2;rank02_time_only_linear_target_entry_ev_regression_top40;time_only;linear;target_entry_ev_regression;top40;-0.0390640699904365;871;900;3.7417030387941455;3.197219246313604;PASS;PASS
3;rank03_time_only_linear_target_entry_ev_regression_top50;time_only;linear;target_entry_ev_regression;top50;-0.0474950606299718;1101;1109;3.570962373558413;3.172022393000705;PASS;PASS
4;rank04_time_only_linear_target_entry_good_0_5r_top40;time_only;linear;target_entry_good_0_5r;top40;0.2900920417107097;839;840;3.727908457401356;3.138626697919389;PASS;PASS
5;rank05_time_only_linear_target_entry_avoid_sl_top30;time_only;linear;target_entry_avoid_sl;top30;0.4288113055848618;587;570;3.762996457025385;3.107830087591563;PASS;PASS
6;rank06_time_only_linear_target_entry_good_0_5r_top50;time_only;linear;target_entry_good_0_5r;top50;0.2863669071030585;1081;1099;3.582646340002227;3.105367308136909;PASS;PASS
7;rank07_movement_plus_time_linear_target_entry_good_0_5r_top40;movement_plus_time;linear;target_entry_good_0_5r;top40;0.2941066606932765;841;979;3.312123675915076;2.8836238567909103;PASS;PASS
8;rank08_movement_plus_time_linear_target_entry_good_0_5r_top30;movement_plus_time;linear;target_entry_good_0_5r;top30;0.2982796930676169;596;760;3.4238059292333443;2.855082109917759;PASS;PASS
9;rank09_time_only_hist_gradient_boosting_target_entry_good_0_5r_top50;time_only;hist_gradient_boosting;target_entry_good_0_5r;top50;0.2867911301968629;1116;1107;3.292614626679009;2.8409370002597787;PASS;PASS
10;rank10_movement_plus_time_linear_target_entry_ev_regression_top50;movement_plus_time;linear;target_entry_ev_regression;top50;-0.0275664925037564;1077;1335;3.2778371318237234;2.834292102379781;PASS;PASS
11;rank11_movement_plus_time_linear_target_entry_good_0_5r_top50;movement_plus_time;linear;target_entry_good_0_5r;top50;0.2897998842880031;1068;1223;3.2668771652402637;2.833848757080637;PASS;PASS
