original_rank;rule_id;profile_id;model_id;target_id;filter_id;split;rows;valid_rows;mean_score;p10;p50;p90;fraction_above_fixed_cutoff
1;rank01_time_only_linear_target_entry_ev_regression_top30;time_only;linear;target_entry_ev_regression;top30;val_eval;4732;4732;-0.04831752521399647;-0.0905313919454879;-0.0493346811849744;-0.0089554613175736;0.30980557903634826
1;rank01_time_only_linear_target_entry_ev_regression_top30;time_only;linear;target_entry_ev_regression;top30;val_select;4731;4731;-0.04850652598922935;-0.0905313919454879;-0.0474950606299718;-0.0102492773231216;0.3016275628831114
2;rank02_time_only_linear_target_entry_ev_regression_top40;time_only;linear;target_entry_ev_regression;top40;val_eval;4732;4732;-0.04831752521399647;-0.0905313919454879;-0.0493346811849744;-0.0089554613175736;0.41124260355029585
2;rank02_time_only_linear_target_entry_ev_regression_top40;time_only;linear;target_entry_ev_regression;top40;val_select;4731;4731;-0.04850652598922935;-0.0905313919454879;-0.0474950606299718;-0.0102492773231216;0.4024519129148172
3;rank03_time_only_linear_target_entry_ev_regression_top50;time_only;linear;target_entry_ev_regression;top50;val_eval;4732;4732;-0.04831752521399647;-0.0905313919454879;-0.0493346811849744;-0.0089554613175736;0.4995773457311919
3;rank03_time_only_linear_target_entry_ev_regression_top50;time_only;linear;target_entry_ev_regression;top50;val_select;4731;4731;-0.04850652598922935;-0.0905313919454879;-0.0474950606299718;-0.0102492773231216;0.5064468399915452
4;rank04_time_only_linear_target_entry_good_0_5r_top40;time_only;linear;target_entry_good_0_5r;top40;val_eval;4732;4732;0.28655548476701526;0.272846584370536;0.2863669071030585;0.3052290766409352;0.3996196111580727
4;rank04_time_only_linear_target_entry_good_0_5r_top40;time_only;linear;target_entry_good_0_5r;top40;val_select;4731;4731;0.2865108850657802;0.272846584370536;0.2863669071030585;0.305093361389659;0.40160642570281124
5;rank05_time_only_linear_target_entry_avoid_sl_top30;time_only;linear;target_entry_avoid_sl;top30;val_eval;4732;4732;0.41622457673215185;0.3920830070900365;0.4133027322357126;0.4394541459517637;0.30304311073541845
5;rank05_time_only_linear_target_entry_avoid_sl_top30;time_only;linear;target_entry_avoid_sl;top30;val_select;4731;4731;0.4163387602587441;0.3920830070900365;0.4133027322357126;0.4422255202474643;0.3037412809131262
6;rank06_time_only_linear_target_entry_good_0_5r_top50;time_only;linear;target_entry_good_0_5r;top50;val_eval;4732;4732;0.28655548476701526;0.272846584370536;0.2863669071030585;0.3052290766409352;0.5033812341504649
6;rank06_time_only_linear_target_entry_good_0_5r_top50;time_only;linear;target_entry_good_0_5r;top50;val_select;4731;4731;0.2865108850657802;0.272846584370536;0.2863669071030585;0.305093361389659;0.5005284295075036
7;rank07_movement_plus_time_linear_target_entry_good_0_5r_top40;movement_plus_time;linear;target_entry_good_0_5r;top40;val_eval;4732;4732;0.2935515557523542;0.2726850204902209;0.2927604957171193;0.31570951798695945;0.46808960270498734
7;rank07_movement_plus_time_linear_target_entry_good_0_5r_top40;movement_plus_time;linear;target_entry_good_0_5r;top40;val_select;4731;4731;0.2905808526925316;0.2710331733907129;0.2897998842880031;0.311779986248236;0.40012682308180086
8;rank08_movement_plus_time_linear_target_entry_good_0_5r_top30;movement_plus_time;linear;target_entry_good_0_5r;top30;val_eval;4732;4732;0.2935515557523542;0.2726850204902209;0.2927604957171193;0.31570951798695945;0.3683431952662722
8;rank08_movement_plus_time_linear_target_entry_good_0_5r_top30;movement_plus_time;linear;target_entry_good_0_5r;top30;val_select;4731;4731;0.2905808526925316;0.2710331733907129;0.2897998842880031;0.311779986248236;0.30014796026210105
9;rank09_time_only_hist_gradient_boosting_target_entry_good_0_5r_top50;time_only;hist_gradient_boosting;target_entry_good_0_5r;top50;val_eval;4732;4732;0.2856289552238678;0.2651935428479506;0.2865029471557178;0.3073766043267543;0.49281487743026203
9;rank09_time_only_hist_gradient_boosting_target_entry_good_0_5r_top50;time_only;hist_gradient_boosting;target_entry_good_0_5r;top50;val_select;4731;4731;0.2857758297491952;0.2651935428479506;0.2867911301968629;0.3073766043267543;0.501585288522511
10;rank10_movement_plus_time_linear_target_entry_ev_regression_top50;movement_plus_time;linear;target_entry_ev_regression;top50;val_eval;4732;4732;-0.008066153383985407;-0.08866610840514076;-0.0080195200860427;0.07507819606647086;0.6120033812341504
10;rank10_movement_plus_time_linear_target_entry_ev_regression_top50;movement_plus_time;linear;target_entry_ev_regression;top50;val_select;4731;4731;-0.025439050041835543;-0.0976799001805037;-0.0275664925037564;0.049733107444382;0.5001056859015007
11;rank11_movement_plus_time_linear_target_entry_good_0_5r_top50;movement_plus_time;linear;target_entry_good_0_5r;top50;val_eval;4732;4732;0.2935515557523542;0.2726850204902209;0.2927604957171193;0.31570951798695945;0.5644547759932376
11;rank11_movement_plus_time_linear_target_entry_good_0_5r_top50;movement_plus_time;linear;target_entry_good_0_5r;top50;val_select;4731;4731;0.2905808526925316;0.2710331733907129;0.2897998842880031;0.311779986248236;0.5001056859015007
