original_rank;rule_id;profile_id;model_id;target_id;filter_id;side;n_trades;gross_profit;gross_loss;pf;mean_pnl_r;median_pnl_r;max_drawdown_r;win_rate;ambiguous_same_bar_rate;exit_reason_counts
1;rank01_time_only_linear_target_entry_ev_regression_top30;time_only;linear;target_entry_ev_regression;top30;BUY;303;155.4947181685983;30.21463457296475;5.1463378712423955;0.4134656224278335;0.0589743589743348;2.601142573273677;0.5643564356435643;0.0;{'ML_CLOSE': 208, 'TIME': 88, 'SL': 7}
1;rank01_time_only_linear_target_entry_ev_regression_top30;time_only;linear;target_entry_ev_regression;top30;SELL;357;142.76519255539677;43.85486072106731;3.2554018005765597;0.2770597530373374;-0.0009433962264356;3.1643108071174666;0.4957983193277311;0.0;{'ML_CLOSE': 261, 'TIME': 90, 'SL': 6}
2;rank02_time_only_linear_target_entry_ev_regression_top40;time_only;linear;target_entry_ev_regression;top40;BUY;430;215.28719590571166;52.958315042169595;4.065219894822616;0.3775090252640513;0.0423706896551816;3.961209524546213;0.5441860465116279;0.0;{'ML_CLOSE': 292, 'TIME': 120, 'SL': 18}
2;rank02_time_only_linear_target_entry_ev_regression_top40;time_only;linear;target_entry_ev_regression;top40;SELL;470;202.49478362223635;58.6972533437674;3.4498170201644993;0.3059521920818489;0.0039736842105077;3.0142382381769153;0.5042553191489362;0.0;{'ML_CLOSE': 340, 'TIME': 121, 'SL': 9}
3;rank03_time_only_linear_target_entry_ev_regression_top50;time_only;linear;target_entry_ev_regression;top50;BUY;520;242.37148079049467;65.69695484604284;3.6892346282788715;0.3397587037393304;0.03666666666667115;4.159870238831928;0.5365384615384615;0.0;{'ML_CLOSE': 361, 'TIME': 137, 'SL': 22}
3;rank03_time_only_linear_target_entry_ev_regression_top50;time_only;linear;target_entry_ev_regression;top50;SELL;589;263.54093491859305;75.97701502134423;3.4686929309417653;0.31844468573386897;0.0;5.3261740696279105;0.499151103565365;0.0;{'ML_CLOSE': 425, 'TIME': 150, 'SL': 14}
4;rank04_time_only_linear_target_entry_good_0_5r_top40;time_only;linear;target_entry_good_0_5r;top40;BUY;393;193.16442626973978;46.2403966492056;4.177395530041551;0.373852492673115;0.0512195121951028;3.2782549790916633;0.5470737913486005;0.0;{'ML_CLOSE': 273, 'TIME': 106, 'SL': 14}
4;rank04_time_only_linear_target_entry_good_0_5r_top40;time_only;linear;target_entry_good_0_5r;top40;SELL;447;190.94120172210788;56.794758956412295;3.3619510889842426;0.3001038988046882;-0.0028301886792641;4.07940543136786;0.4899328859060403;0.0;{'ML_CLOSE': 328, 'TIME': 112, 'SL': 7}
5;rank05_time_only_linear_target_entry_avoid_sl_top30;time_only;linear;target_entry_avoid_sl;top30;BUY;269;122.85384554251783;32.02437340003435;3.836260713297393;0.3376560302694554;0.0209302325581466;2.689075473706616;0.5204460966542751;0.0;{'ML_CLOSE': 188, 'TIME': 72, 'SL': 9}
5;rank05_time_only_linear_target_entry_avoid_sl_top30;time_only;linear;target_entry_avoid_sl;top30;SELL;301;136.23832981520366;36.82824932141554;3.6992887885110894;0.33026604815211996;0.0224489795918396;3.603241398452724;0.5282392026578073;0.0;{'ML_CLOSE': 212, 'TIME': 86, 'SL': 3}
6;rank06_time_only_linear_target_entry_good_0_5r_top50;time_only;linear;target_entry_good_0_5r;top50;BUY;510;244.99514957094965;67.0605090116807;3.653344616401227;0.34889145207699795;0.045138888888901454;3.579127072114936;0.5431372549019607;0.0;{'ML_CLOSE': 347, 'TIME': 138, 'SL': 25}
6;rank06_time_only_linear_target_entry_good_0_5r_top50;time_only;linear;target_entry_good_0_5r;top50;SELL;589;265.20796668784743;75.3490586205182;3.519725017714143;0.3223411002840903;0.0039473684210191;5.459524290552736;0.5042444821731749;0.0;{'ML_CLOSE': 423, 'TIME': 154, 'SL': 12}
7;rank07_movement_plus_time_linear_target_entry_good_0_5r_top40;movement_plus_time;linear;target_entry_good_0_5r;top40;BUY;463;204.20349366224164;59.20847047427788;3.448889863671692;0.3131641969502457;0.0219512195122027;5.1624603866659555;0.5269978401727862;0.0;{'ML_CLOSE': 322, 'TIME': 122, 'SL': 19}
7;rank07_movement_plus_time_linear_target_entry_good_0_5r_top40;movement_plus_time;linear;target_entry_good_0_5r;top40;SELL;516;220.70133841297016;69.07926079765863;3.1949001171195306;0.2938412356885882;-0.012250000000003;4.721974198004915;0.48255813953488375;0.0;{'ML_CLOSE': 376, 'TIME': 128, 'SL': 12}
8;rank08_movement_plus_time_linear_target_entry_good_0_5r_top30;movement_plus_time;linear;target_entry_good_0_5r;top30;BUY;358;159.86392770624764;43.86670345402478;3.64431140520499;0.3240145928833041;0.027550211416491402;4.833740410534823;0.5307262569832403;0.0;{'ML_CLOSE': 251, 'TIME': 94, 'SL': 13}
8;rank08_movement_plus_time_linear_target_entry_good_0_5r_top30;movement_plus_time;linear;target_entry_good_0_5r;top30;SELL;402;173.12361771273856;53.389844464141994;3.242631992101286;0.29784520708606127;-0.01360294117647245;5.288638996569716;0.48756218905472637;0.0;{'ML_CLOSE': 290, 'TIME': 103, 'SL': 9}
9;rank09_time_only_hist_gradient_boosting_target_entry_good_0_5r_top50;time_only;hist_gradient_boosting;target_entry_good_0_5r;top50;BUY;533;272.60477328455056;82.56626552470236;3.3016483372739205;0.35654504270140375;0.0026881720430082;4.2178281567522475;0.50093808630394;0.0;{'ML_CLOSE': 353, 'TIME': 148, 'SL': 32}
9;rank09_time_only_hist_gradient_boosting_target_entry_good_0_5r_top50;time_only;hist_gradient_boosting;target_entry_good_0_5r;top50;SELL;574;262.6527585731584;79.9968013828815;3.283290757039736;0.3182159532931654;-0.0004716981132178;4.113469653864485;0.4965156794425087;0.0;{'ML_CLOSE': 410, 'TIME': 151, 'SL': 13}
10;rank10_movement_plus_time_linear_target_entry_ev_regression_top50;movement_plus_time;linear;target_entry_ev_regression;top50;BUY;649;310.60820859243313;87.20711861847629;3.56172997701389;0.3442235592819057;0.0209302325581466;4.193591169064483;0.5254237288135594;0.0;{'ML_CLOSE': 452, 'TIME': 168, 'SL': 29}
10;rank10_movement_plus_time_linear_target_entry_ev_regression_top50;movement_plus_time;linear;target_entry_ev_regression;top50;SELL;686;303.28035696734275;100.07752697897607;3.0304541501215834;0.2962140378839165;-0.01162499999998935;5.155449546876554;0.48542274052478135;0.0;{'ML_CLOSE': 489, 'TIME': 174, 'SL': 23}
11;rank11_movement_plus_time_linear_target_entry_good_0_5r_top50;movement_plus_time;linear;target_entry_good_0_5r;top50;BUY;584;266.13112865071355;77.83531144015086;3.4191567262546014;0.3224243445386347;0.02318491208168465;4.159870238831928;0.5273972602739726;0.0;{'ML_CLOSE': 407, 'TIME': 152, 'SL': 25}
11;rank11_movement_plus_time_linear_target_entry_good_0_5r_top50;movement_plus_time;linear;target_entry_good_0_5r;top50;SELL;639;269.1442925608826;86.01395320528893;3.1290771151805767;0.2865889504782373;-0.0085106382978645;4.258387755102035;0.48826291079812206;0.0;{'ML_CLOSE': 466, 'TIME': 159, 'SL': 14}
