original_rank;rule_id;profile_id;model_id;target_id;filter_id;cutoff;cutoff_offset;n_trades;gross_profit;gross_loss;pf;mean_pnl_r;median_pnl_r;max_drawdown_r;win_rate;ambiguous_same_bar_rate;exit_reason_counts
1;rank01_time_only_linear_target_entry_ev_regression_top30;time_only;linear;target_entry_ev_regression;top30;-0.0267181842596606;0.0;660;298.25991072399506;74.06949529403207;4.026757702884287;0.33968244762115607;0.026524390243891603;3.390579268292761;0.5272727272727272;0.0;{'ML_CLOSE': 469, 'TIME': 178, 'SL': 13}
1;rank01_time_only_linear_target_entry_ev_regression_top30;time_only;linear;target_entry_ev_regression;top30;-0.0217181842596606;0.005;536;222.72034971520188;60.090895656253714;3.70639091467799;0.30341316055773915;0.02815482502648535;3.3242043161824313;0.5298507462686567;0.0;{'ML_CLOSE': 383, 'TIME': 142, 'SL': 11}
1;rank01_time_only_linear_target_entry_ev_regression_top30;time_only;linear;target_entry_ev_regression;top30;-0.016718184259660603;0.01;420;173.3607632510854;46.378807540923766;3.7379305860357706;0.3023379897860991;0.0363565891472665;4.9299702531769185;0.5428571428571428;0.0;{'ML_CLOSE': 301, 'TIME': 110, 'SL': 9}
1;rank01_time_only_linear_target_entry_ev_regression_top30;time_only;linear;target_entry_ev_regression;top30;-0.006718184259660601;0.02;139;57.32559672785632;13.0908224260731;4.379067629370669;0.31823578634376415;0.0202127659574282;2.432741728361563;0.5251798561151079;0.0;{'ML_CLOSE': 102, 'TIME': 37}
2;rank02_time_only_linear_target_entry_ev_regression_top40;time_only;linear;target_entry_ev_regression;top40;-0.0390640699904365;0.0;900;417.781979527948;111.65556838593699;3.741703038794146;0.3401404568244567;0.026524390243891603;4.9121701773837;0.5233333333333333;0.0;{'ML_CLOSE': 632, 'TIME': 241, 'SL': 27}
2;rank02_time_only_linear_target_entry_ev_regression_top40;time_only;linear;target_entry_ev_regression;top40;-0.0340640699904365;0.005;784;365.2288208596921;92.81386882581651;3.9350673070757978;0.34746805106361683;0.03263729977116215;4.361770526221761;0.5318877551020408;0.0;{'ML_CLOSE': 547, 'TIME': 217, 'SL': 20}
2;rank02_time_only_linear_target_entry_ev_regression_top40;time_only;linear;target_entry_ev_regression;top40;-0.029064069990436495;0.01;721;331.0572684594161;84.51781436490263;3.917011708680589;0.34194099042234877;0.0282608695651915;3.8426832662642028;0.5270457697642164;0.0;{'ML_CLOSE': 509, 'TIME': 196, 'SL': 16}
2;rank02_time_only_linear_target_entry_ev_regression_top40;time_only;linear;target_entry_ev_regression;top40;-0.019064069990436496;0.02;463;190.93719280604034;50.182548793615965;3.804852431694953;0.3040057106099879;0.0337499999999977;5.029737155436209;0.5399568034557235;0.0;{'ML_CLOSE': 332, 'TIME': 122, 'SL': 9}
3;rank03_time_only_linear_target_entry_ev_regression_top50;time_only;linear;target_entry_ev_regression;top50;-0.0474950606299718;0.0;1109;505.91241570908767;141.6739698673871;3.570962373558413;0.32843863466339096;0.0166666666666514;6.174901822267316;0.5166816952209198;0.0;{'ML_CLOSE': 786, 'TIME': 287, 'SL': 36}
3;rank03_time_only_linear_target_entry_ev_regression_top50;time_only;linear;target_entry_ev_regression;top50;-0.042495060629971805;0.005;986;458.69828919521706;123.58616195824689;3.7115667476605227;0.33987031159936126;0.022200099552021152;5.110830891669423;0.5202839756592292;0.0;{'ML_CLOSE': 694, 'TIME': 261, 'SL': 31}
3;rank03_time_only_linear_target_entry_ev_regression_top50;time_only;linear;target_entry_ev_regression;top50;-0.0374950606299718;0.01;865;395.3929579577914;108.56551759629173;3.6419755251210337;0.33159241660288985;0.0243243243243326;4.9121701773837;0.5213872832369942;0.0;{'ML_CLOSE': 608, 'TIME': 230, 'SL': 27}
3;rank03_time_only_linear_target_entry_ev_regression_top50;time_only;linear;target_entry_ev_regression;top50;-0.027495060629971802;0.02;666;298.25991072399506;75.8358333315942;3.932968065635221;0.3339700861747761;0.02313777191826765;3.390579268292761;0.5225225225225225;0.0;{'ML_CLOSE': 474, 'TIME': 178, 'SL': 14}
4;rank04_time_only_linear_target_entry_good_0_5r_top40;time_only;linear;target_entry_good_0_5r;top40;0.2900920417107097;0.0;840;384.1056279918477;103.0351556056179;3.727908457401356;0.3346077052217021;0.02020253682485865;4.261773771464071;0.5166666666666667;0.0;{'ML_CLOSE': 601, 'TIME': 218, 'SL': 21}
4;rank04_time_only_linear_target_entry_good_0_5r_top40;time_only;linear;target_entry_good_0_5r;top40;0.2950920417107097;0.005;408;172.0240734794072;46.4784980352393;3.7011538830058823;0.30770974373570575;0.014005847953203698;4.277204227371371;0.5171568627450981;0.0;{'ML_CLOSE': 288, 'TIME': 113, 'SL': 7}
4;rank04_time_only_linear_target_entry_good_0_5r_top40;time_only;linear;target_entry_good_0_5r;top40;0.3000920417107097;0.01;278;114.82747793710456;29.088309663948543;3.947547288367168;0.3084142743638706;0.018001119820812247;3.6434267887048577;0.5215827338129496;0.0;{'ML_CLOSE': 196, 'TIME': 80, 'SL': 2}
4;rank04_time_only_linear_target_entry_good_0_5r_top40;time_only;linear;target_entry_good_0_5r;top40;0.3100920417107097;0.02;98;37.93762192585983;10.002531443696267;3.792802066097842;0.28505194369554643;0.0205714992577874;2.094981751923026;0.5408163265306123;0.0;{'ML_CLOSE': 71, 'TIME': 27}
5;rank05_time_only_linear_target_entry_avoid_sl_top30;time_only;linear;target_entry_avoid_sl;top30;0.4288113055848618;0.0;570;259.0921753577215;68.85262272144988;3.762996457025386;0.333753601116266;0.021440726035174648;3.5589674017136304;0.5245614035087719;0.0;{'ML_CLOSE': 400, 'TIME': 158, 'SL': 12}
5;rank05_time_only_linear_target_entry_avoid_sl_top30;time_only;linear;target_entry_avoid_sl;top30;0.4338113055848618;0.005;339;147.97670231013808;40.78087902883769;3.6285804973820746;0.31621186808643176;0.0209302325581466;3.4121172648953575;0.5221238938053098;0.0;{'ML_CLOSE': 240, 'TIME': 91, 'SL': 8}
