original_rank;rule_id;profile_id;model_id;target_id;filter_id;period;n_trades;gross_profit;gross_loss;pf;mean_pnl_r;median_pnl_r;max_drawdown_r;win_rate;ambiguous_same_bar_rate;exit_reason_counts
1;rank01_time_only_linear_target_entry_ev_regression_top30;time_only;linear;target_entry_ev_regression;top30;2021;300;139.8188513745593;29.39413685805171;4.756691854901662;0.3680823817216921;0.0363565891472665;3.390579268292761;0.5533333333333333;0.0;{'ML_CLOSE': 210, 'TIME': 85, 'SL': 5}
1;rank01_time_only_linear_target_entry_ev_regression_top30;time_only;linear;target_entry_ev_regression;top30;2022;360;158.44105934943573;44.67535843598035;3.5464977763184886;0.31601583587070936;0.00363043478260535;3.3286832662641928;0.5055555555555555;0.0;{'ML_CLOSE': 259, 'TIME': 93, 'SL': 8}
2;rank02_time_only_linear_target_entry_ev_regression_top40;time_only;linear;target_entry_ev_regression;top40;2021;413;196.6982249303606;43.73192591902952;4.497817573700071;0.37037844796932473;0.0423076923076832;4.9121701773837;0.549636803874092;0.0;{'ML_CLOSE': 288, 'TIME': 117, 'SL': 8}
2;rank02_time_only_linear_target_entry_ev_regression_top40;time_only;linear;target_entry_ev_regression;top40;2022;487;221.08375459758736;67.92364246690747;3.254886613380603;0.3144971501656672;0.0019230769230751;4.361770526221779;0.5010266940451745;0.0;{'ML_CLOSE': 344, 'TIME': 124, 'SL': 19}
3;rank03_time_only_linear_target_entry_ev_regression_top50;time_only;linear;target_entry_ev_regression;top50;2021;518;247.9029581556236;55.511451154715076;4.465798551450173;0.3714121756774295;0.0363565891472665;5.143389031204336;0.5424710424710425;0.0;{'ML_CLOSE': 363, 'TIME': 145, 'SL': 10}
3;rank03_time_only_linear_target_entry_ev_regression_top50;time_only;linear;target_entry_ev_regression;top50;2022;591;258.00945755346413;86.16251871267198;2.994451199991656;0.2907731621671609;-0.0012820512820501;6.174901822267344;0.494077834179357;0.0;{'ML_CLOSE': 423, 'TIME': 142, 'SL': 26}
4;rank04_time_only_linear_target_entry_good_0_5r_top40;time_only;linear;target_entry_good_0_5r;top40;2021;379;176.28526558353502;37.375936103203834;4.716544492605337;0.3665153812145942;0.0423076923076832;4.261773771464071;0.554089709762533;0.0;{'ML_CLOSE': 268, 'TIME': 105, 'SL': 6}
4;rank04_time_only_linear_target_entry_good_0_5r_top40;time_only;linear;target_entry_good_0_5r;top40;2022;461;207.82036240831263;65.65921950241406;3.165136046137006;0.3083755811407779;-0.0041666666666628;4.157935835872792;0.48590021691973967;0.0;{'ML_CLOSE': 333, 'TIME': 113, 'SL': 15}
5;rank05_time_only_linear_target_entry_avoid_sl_top30;time_only;linear;target_entry_avoid_sl;top30;2021;265;110.21261049271482;27.830724525349947;3.960105687953842;0.3108750413862825;0.0219512195122027;3.5589674017136304;0.5245283018867924;0.0;{'ML_CLOSE': 186, 'TIME': 76, 'SL': 3}
5;rank05_time_only_linear_target_entry_avoid_sl_top30;time_only;linear;target_entry_avoid_sl;top30;2022;305;148.87956486500667;41.02189819609994;3.629270497267263;0.35363169399641553;0.0202127659574282;2.766821097647906;0.5245901639344263;0.0;{'ML_CLOSE': 214, 'TIME': 82, 'SL': 9}
