seed;split;hold12_pf;hold24_pf;hold12_n_trades
7;validation;16.098906613909026;11.240091883688192;32
7;test;13.730869333509215;8.178675196069868;48
17;validation;28.550303542120012;13.003203569985443;41
17;test;17.76676919395479;10.87935141366133;57
42;validation;30.99119961559859;12.145766438876873;27
42;test;368.8908543780326;54.239976927309705;28
77;validation;inf;34.091071474518394;19
77;test;inf;inf;17
123;validation;15.003140977611535;7.186226907504098;38
123;test;11.024848700804919;7.65727936465653;53
